latencia,121,141,127,143,128,139,129 
TX,368826408,RX,368826408,DROP_MCAST_PORT_OUT_BOUNDS,0,DROP,95
latencia,123,139,121,138,123,143,130 
TX,368818225,RX,368818225,DROP_MCAST_PORT_OUT_BOUNDS,0,DROP,95
latencia,122,139,121,149,125,138,127 
TX,368840742,RX,368840742,DROP_MCAST_PORT_OUT_BOUNDS,0,DROP,96
latencia,129,145,120,143,129,135,126 
TX,368836648,RX,368836648,DROP_MCAST_PORT_OUT_BOUNDS,0,DROP,96
latencia,104,144,125,147,132,151,126 
TX,368844799,RX,368844799,DROP_MCAST_PORT_OUT_BOUNDS,0,DROP,93
latencia,116,145,116,138,123,138,131 
TX,368865306,RX,368865306,DROP_MCAST_PORT_OUT_BOUNDS,0,DROP,94
latencia,122,138,127,141,122,140,134 
TX,368863259,RX,368863259,DROP_MCAST_PORT_OUT_BOUNDS,0,DROP,94
latencia,124,138,118,137,118,142,129 
TX,368842789,RX,368842789,DROP_MCAST_PORT_OUT_BOUNDS,0,DROP,95
latencia,127,150,124,146,123,141,126 
TX,368832554,RX,368832554,DROP_MCAST_PORT_OUT_BOUNDS,0,DROP,89
latencia,116,130,129,141,121,144,124 
TX,368842789,RX,368842789,DROP_MCAST_PORT_OUT_BOUNDS,0,DROP,93
