[0]:0 [1]:0 [2]:0 [3]:0
[0]:3511116174 [1]:1 [2]:2 [3]:28
[0]:3310568593 [1]:1 [2]:2 [3]:196
[0]:4094525228 [1]:1 [2]:2 [3]:190
[0]:3878457556 [1]:1 [2]:2 [3]:117
[0]:3652939951 [1]:1 [2]:2 [3]:57
[0]:3438749271 [1]:1 [2]:2 [3]:185
[0]:4222808567 [1]:1 [2]:2 [3]:196
[0]:3911357566 [1]:1 [2]:2 [3]:191
[0]:3685540416 [1]:1 [2]:2 [3]:201
[0]:3421525714 [1]:1 [2]:2 [3]:57
[0]:4202763043 [1]:1 [2]:2 [3]:116
[0]:3986869006 [1]:1 [2]:2 [3]:54
[0]:3743460682 [1]:1 [2]:2 [3]:87
[0]:3518693491 [1]:1 [2]:2 [3]:27
[0]:4294742539 [1]:1 [2]:2 [3]:72
[0]:4078704086 [1]:1 [2]:2 [3]:121
[0]:3866758012 [1]:1 [2]:2 [3]:114
[0]:3606786484 [1]:1 [2]:2 [3]:179
[0]:3402793414 [1]:1 [2]:2 [3]:148
[0]:4186750273 [1]:1 [2]:2 [3]:51
[0]:3970791889 [1]:1 [2]:2 [3]:144
[0]:3759431854 [1]:1 [2]:2 [3]:71
[0]:3534600577 [1]:1 [2]:2 [3]:170
[0]:3319640632 [1]:1 [2]:2 [3]:198
[0]:4110553139 [1]:1 [2]:2 [3]:61
[0]:3903652841 [1]:1 [2]:2 [3]:192
[0]:3698874322 [1]:1 [2]:2 [3]:181
[0]:3474777552 [1]:1 [2]:2 [3]:170
[0]:4254189338 [1]:1 [2]:2 [3]:104
[0]:3994977201 [1]:1 [2]:2 [3]:30
[0]:3779707727 [1]:1 [2]:2 [3]:178
[0]:3570475457 [1]:1 [2]:2 [3]:192
[0]:3338819042 [1]:1 [2]:2 [3]:133
[0]:4131862668 [1]:1 [2]:2 [3]:100
[0]:3902823394 [1]:1 [2]:2 [3]:195
[0]:3683081253 [1]:1 [2]:2 [3]:37
[0]:3470830646 [1]:1 [2]:2 [3]:168
[0]:4250764573 [1]:1 [2]:2 [3]:192
[0]:4038505576 [1]:1 [2]:2 [3]:61
[0]:3818831091 [1]:1 [2]:2 [3]:194
[0]:3587981511 [1]:1 [2]:2 [3]:184
[0]:3360768109 [1]:1 [2]:2 [3]:127
[0]:4150767413 [1]:1 [2]:2 [3]:199
[0]:3922553592 [1]:1 [2]:2 [3]:89
[0]:3702692526 [1]:1 [2]:2 [3]:159
[0]:3486585296 [1]:1 [2]:2 [3]:40
[0]:4274505027 [1]:1 [2]:2 [3]:187
[0]:4062636717 [1]:1 [2]:2 [3]:64
[0]:3843086893 [1]:1 [2]:2 [3]:70
[0]:3626871699 [1]:1 [2]:2 [3]:203
[0]:3402878026 [1]:1 [2]:2 [3]:84
[0]:4170886268 [1]:1 [2]:2 [3]:59
[0]:3962588957 [1]:1 [2]:2 [3]:112
[0]:3754889681 [1]:1 [2]:2 [3]:157
[0]:3550686559 [1]:1 [2]:2 [3]:141
[0]:3326774131 [1]:1 [2]:2 [3]:136
[0]:4114661921 [1]:1 [2]:2 [3]:193
[0]:3895481546 [1]:1 [2]:2 [3]:191
[0]:3683665322 [1]:1 [2]:2 [3]:193
[0]:3471152959 [1]:1 [2]:2 [3]:92
[0]:4255040634 [1]:1 [2]:2 [3]:185
[0]:3976648966 [1]:1 [2]:2 [3]:60
[0]:3762772867 [1]:1 [2]:2 [3]:102
[0]:3550451552 [1]:1 [2]:2 [3]:109
[0]:3330834273 [1]:1 [2]:2 [3]:175
[0]:4106605831 [1]:1 [2]:2 [3]:78
[0]:3898755564 [1]:1 [2]:2 [3]:140
[0]:3682866071 [1]:1 [2]:2 [3]:196
[0]:3469735951 [1]:1 [2]:2 [3]:190
[0]:4240326701 [1]:1 [2]:2 [3]:170
[0]:3986199972 [1]:1 [2]:2 [3]:195
[0]:3767273766 [1]:1 [2]:2 [3]:95
[0]:3551056822 [1]:1 [2]:2 [3]:37
[0]:3331018933 [1]:1 [2]:2 [3]:159
[0]:4122627081 [1]:1 [2]:2 [3]:156
[0]:3918730637 [1]:1 [2]:2 [3]:206
[0]:3708662873 [1]:1 [2]:2 [3]:67
[0]:3498594634 [1]:1 [2]:2 [3]:186
[0]:4290592741 [1]:1 [2]:2 [3]:194
[0]:4074918161 [1]:1 [2]:2 [3]:166
[0]:3854633667 [1]:1 [2]:2 [3]:82
[0]:3634863031 [1]:1 [2]:2 [3]:196
[0]:3420001203 [1]:1 [2]:2 [3]:80
[0]:4206558044 [1]:1 [2]:2 [3]:66
[0]:3970804026 [1]:1 [2]:2 [3]:96
[0]:3764666407 [1]:1 [2]:2 [3]:62
[0]:3547315368 [1]:1 [2]:2 [3]:55
[0]:3337931263 [1]:1 [2]:2 [3]:31
[0]:4126555262 [1]:1 [2]:2 [3]:79
[0]:3919156299 [1]:1 [2]:2 [3]:54
[0]:3661545893 [1]:1 [2]:2 [3]:194
[0]:3458937126 [1]:1 [2]:2 [3]:186
[0]:4262873173 [1]:1 [2]:2 [3]:76
[0]:4050957339 [1]:1 [2]:2 [3]:144
[0]:3834865498 [1]:1 [2]:2 [3]:151
[0]:3624261957 [1]:1 [2]:2 [3]:55
[0]:3394927941 [1]:1 [2]:2 [3]:95
[0]:4174967679 [1]:1 [2]:2 [3]:139
[0]:3962589798 [1]:1 [2]:2 [3]:83
[0]:3746647592 [1]:1 [2]:2 [3]:103
[0]:3530066897 [1]:1 [2]:2 [3]:159
[0]:3318949372 [1]:1 [2]:2 [3]:105
[0]:4102761164 [1]:1 [2]:2 [3]:121
[0]:3880192664 [1]:1 [2]:2 [3]:55
[0]:3673831656 [1]:1 [2]:2 [3]:145
[0]:3458739188 [1]:1 [2]:2 [3]:133
[0]:4250855242 [1]:1 [2]:2 [3]:146
[0]:4037864569 [1]:1 [2]:2 [3]:30
[0]:3820775499 [1]:1 [2]:2 [3]:67
[0]:3611806358 [1]:1 [2]:2 [3]:166
[0]:3392198856 [1]:1 [2]:2 [3]:26
[0]:4178787742 [1]:1 [2]:2 [3]:32
[0]:3970721251 [1]:1 [2]:2 [3]:118
[0]:3755579228 [1]:1 [2]:2 [3]:188
[0]:3534722861 [1]:1 [2]:2 [3]:169
[0]:3328968859 [1]:1 [2]:2 [3]:146
[0]:4111078581 [1]:1 [2]:2 [3]:34
[0]:3894070373 [1]:1 [2]:2 [3]:174
[0]:3682575031 [1]:1 [2]:2 [3]:32
[0]:3463484273 [1]:1 [2]:2 [3]:195
[0]:4250776889 [1]:1 [2]:2 [3]:111
[0]:4011854929 [1]:1 [2]:2 [3]:155
[0]:3794657892 [1]:1 [2]:2 [3]:29
[0]:3578950713 [1]:1 [2]:2 [3]:28
[0]:3367287841 [1]:1 [2]:2 [3]:188
[0]:4134676059 [1]:1 [2]:2 [3]:61
[0]:3922970308 [1]:1 [2]:2 [3]:167
[0]:3706756564 [1]:1 [2]:2 [3]:160
[0]:3500532929 [1]:1 [2]:2 [3]:31
[0]:4242948792 [1]:1 [2]:2 [3]:70
[0]:4038824042 [1]:1 [2]:2 [3]:29
[0]:3822215037 [1]:1 [2]:2 [3]:90
[0]:3608488636 [1]:1 [2]:2 [3]:111
[0]:3348426297 [1]:1 [2]:2 [3]:87
[0]:4140823823 [1]:1 [2]:2 [3]:188
[0]:3926809003 [1]:1 [2]:2 [3]:189
[0]:3708861236 [1]:1 [2]:2 [3]:168
[0]:3498846652 [1]:1 [2]:2 [3]:195
[0]:4294688079 [1]:1 [2]:2 [3]:64
[0]:4022470461 [1]:1 [2]:2 [3]:197
[0]:3790707601 [1]:1 [2]:2 [3]:123
[0]:3588704399 [1]:1 [2]:2 [3]:119
[0]:3376576683 [1]:1 [2]:2 [3]:205
[0]:4147342229 [1]:1 [2]:2 [3]:193
[0]:3927177641 [1]:1 [2]:2 [3]:106
[0]:3715231283 [1]:1 [2]:2 [3]:187
[0]:3513074139 [1]:1 [2]:2 [3]:35
[0]:3303010172 [1]:1 [2]:2 [3]:188
[0]:4085151247 [1]:1 [2]:2 [3]:125
[0]:3871127354 [1]:1 [2]:2 [3]:33
[0]:3650918634 [1]:1 [2]:2 [3]:191
[0]:3439027268 [1]:1 [2]:2 [3]:123
[0]:4211155198 [1]:1 [2]:2 [3]:134
[0]:3994867599 [1]:1 [2]:2 [3]:39
[0]:3778931223 [1]:1 [2]:2 [3]:30
[0]:3561112229 [1]:1 [2]:2 [3]:123
[0]:3351399116 [1]:1 [2]:2 [3]:152
[0]:4142930633 [1]:1 [2]:2 [3]:91
[0]:3927055184 [1]:1 [2]:2 [3]:113
[0]:3710833641 [1]:1 [2]:2 [3]:68
[0]:3505319974 [1]:1 [2]:2 [3]:194
[0]:4255484907 [1]:1 [2]:2 [3]:153
[0]:4039580352 [1]:1 [2]:2 [3]:142
[0]:3826810634 [1]:1 [2]:2 [3]:103
[0]:3619579876 [1]:1 [2]:2 [3]:186
[0]:3407299981 [1]:1 [2]:2 [3]:90
[0]:4187211944 [1]:1 [2]:2 [3]:199
[0]:3978883869 [1]:1 [2]:2 [3]:199
[0]:3771024383 [1]:1 [2]:2 [3]:196
[0]:3555161291 [1]:1 [2]:2 [3]:108
[0]:3351428778 [1]:1 [2]:2 [3]:82
[0]:4139148597 [1]:1 [2]:2 [3]:186
[0]:3922986696 [1]:1 [2]:2 [3]:29
[0]:3711210429 [1]:1 [2]:2 [3]:138
[0]:3503085632 [1]:1 [2]:2 [3]:208
[0]:4287105548 [1]:1 [2]:2 [3]:194
[0]:4079167326 [1]:1 [2]:2 [3]:156
[0]:3867278993 [1]:1 [2]:2 [3]:61
[0]:3655026797 [1]:1 [2]:2 [3]:45
[0]:3411086036 [1]:1 [2]:2 [3]:186
[0]:4195055297 [1]:1 [2]:2 [3]:82
[0]:3979873707 [1]:1 [2]:2 [3]:49
[0]:3772438057 [1]:1 [2]:2 [3]:187
[0]:3561615369 [1]:1 [2]:2 [3]:187
[0]:3362979091 [1]:1 [2]:2 [3]:194
[0]:4151717436 [1]:1 [2]:2 [3]:105
[0]:3942696759 [1]:1 [2]:2 [3]:163
[0]:3735157059 [1]:1 [2]:2 [3]:105
[0]:3531146408 [1]:1 [2]:2 [3]:105
[0]:3303111764 [1]:1 [2]:2 [3]:186
[0]:4084511466 [1]:1 [2]:2 [3]:200
[0]:3859680037 [1]:1 [2]:2 [3]:190
[0]:3643045233 [1]:1 [2]:2 [3]:40
[0]:3417666417 [1]:1 [2]:2 [3]:55
[0]:4207104827 [1]:1 [2]:2 [3]:192
[0]:3935255952 [1]:1 [2]:2 [3]:27
[0]:3707045811 [1]:1 [2]:2 [3]:165
[0]:3479142332 [1]:1 [2]:2 [3]:199
[0]:4267148217 [1]:1 [2]:2 [3]:38
[0]:4060367124 [1]:1 [2]:2 [3]:193
[0]:3780078921 [1]:1 [2]:2 [3]:27
[0]:3571235084 [1]:1 [2]:2 [3]:179
[0]:3362982272 [1]:1 [2]:2 [3]:183
[0]:4087319054 [1]:1 [2]:2 [3]:72
[0]:3875055636 [1]:1 [2]:2 [3]:126
[0]:3667077407 [1]:1 [2]:2 [3]:110
[0]:3451161283 [1]:1 [2]:2 [3]:125
[0]:4231275166 [1]:1 [2]:2 [3]:120
[0]:4018911726 [1]:1 [2]:2 [3]:114
[0]:3800530558 [1]:1 [2]:2 [3]:146
[0]:3587205346 [1]:1 [2]:2 [3]:160
[0]:3370210211 [1]:1 [2]:2 [3]:188
[0]:4157107373 [1]:1 [2]:2 [3]:177
[0]:3942680233 [1]:1 [2]:2 [3]:36
[0]:3730855168 [1]:1 [2]:2 [3]:29
[0]:3515894161 [1]:1 [2]:2 [3]:73
[0]:3295055424 [1]:1 [2]:2 [3]:127
[0]:4070020022 [1]:1 [2]:2 [3]:191
[0]:3846938222 [1]:1 [2]:2 [3]:201
[0]:3599906451 [1]:1 [2]:2 [3]:93
[0]:3364131542 [1]:1 [2]:2 [3]:144
[0]:4159168868 [1]:1 [2]:2 [3]:104
[0]:3947030608 [1]:1 [2]:2 [3]:56
[0]:3738964311 [1]:1 [2]:2 [3]:118
