latencia,2,10,2,10,2,10,2,10,2,9,2,9,2 
 mh,1,2,2,2,2,2,2,2,2,2,2,2,2 
 clonados,1,0,0,0,0,0,0,0,0,0,0,0,0 
 pkts,3476227975,130593711,-93852095,66145629,-91991352,44699514,-33994024,130300335,-79477040,-110671095,-11085546,119347643,-71865202 
TX,3058617165,RX,3058617165,DROP_MCAST_PORT_OUT_BOUNDS,0,DROP,99
latencia,2,10,2,10,2,10,2,9,2,10,3,10,2 
 mh,1,2,2,2,2,2,2,2,2,2,2,2,2 
 clonados,1,0,0,0,0,0,0,0,0,0,0,0,0 
 pkts,3550722541,-37548119,81298363,33571630,-163708657,37692042,26192973,60435989,-2089822,-47452173,-15883772,-96304648,45594294 
TX,3057565007,RX,3057565007,DROP_MCAST_PORT_OUT_BOUNDS,0,DROP,92
latencia,2,9,2,10,2,8,2,11,2,10,2,9,2 
 mh,1,2,2,2,2,2,2,2,2,2,2,2,2 
 clonados,1,0,0,0,0,0,0,0,0,0,0,0,0 
 pkts,3675829676,-164047004,47974194,-36146345,-39603966,23849183,41149474,-71552271,-92861969,203784285,-51765862,-3056675,-8440130 
TX,3057878198,RX,3057878198,DROP_MCAST_PORT_OUT_BOUNDS,0,DROP,92
latencia,2,9,2,9,2,9,2,9,2,10,2,10,2 
 mh,1,2,2,2,2,2,2,2,2,2,2,2,2 
 clonados,1,0,0,0,0,0,0,0,0,0,0,0,0 
 pkts,3725878513,23840102,25214208,-32860188,40389100,-127041323,78968828,47314960,40579225,-26973462,-176197872,3831566,226920194 
TX,3058193436,RX,3058193436,DROP_MCAST_PORT_OUT_BOUNDS,0,DROP,93
latencia,2,11,2,10,2,9,2,10,2,11,2,10,2 
 mh,1,2,2,2,2,2,2,2,2,2,2,2,2 
 clonados,1,0,0,0,0,0,0,0,0,0,0,0,0 
 pkts,3594984358,-98593312,64686677,47744240,-149427703,89346785,-131680178,83968609,20651222,-154644176,106604651,-36491243,25716208 
TX,3057923232,RX,3057923232,DROP_MCAST_PORT_OUT_BOUNDS,0,DROP,100
latencia,2,10,2,10,2,11,2,11,2,10,2,10,2 
 mh,1,2,2,2,2,2,2,2,2,2,2,2,2 
 clonados,1,0,0,0,0,0,0,0,0,0,0,0,0 
 pkts,3354670232,882479909,-17483659,-49715325,-842736699,865759030,50517798,-27668144,47854093,-171957624,53679879,-45001620,84036087 
TX,3058312162,RX,3058312162,DROP_MCAST_PORT_OUT_BOUNDS,0,DROP,96
latencia,2,10,2,10,2,10,2,9,2,9,2,10,2 
 mh,1,2,2,2,2,2,2,2,2,2,2,2,2 
 clonados,1,0,0,0,0,0,0,0,0,0,0,0,0 
 pkts,3316941777,911853448,-858237425,881268647,-83024220,-843641806,792522439,-332609,78950295,-16566186,30056718,4584375,74145407 
TX,3057812694,RX,3057812694,DROP_MCAST_PORT_OUT_BOUNDS,0,DROP,93
latencia,2,9,2,10,2,10,2,9,2,11,3,9,2 
 mh,1,2,2,2,2,2,2,2,2,2,2,2,2 
 clonados,1,0,0,0,0,0,0,0,0,0,0,0,0 
 pkts,4264119212,-63727739,94365837,-130704034,59091189,56096941,-15315931,-569025,15866315,-105973330,61669211,-78576663,47831355 
TX,3058074710,RX,3058074710,DROP_MCAST_PORT_OUT_BOUNDS,0,DROP,93
latencia,2,10,2,9,2,9,2,10,2,10,2,10,2 
 mh,1,2,2,2,2,2,2,2,2,2,2,2,2 
 clonados,1,0,0,0,0,0,0,0,0,0,0,0,0 
 pkts,3407524421,867458227,-913233601,903098508,-38683067,35374125,-72840108,12942412,-903947351,868590461,-40190281,63955962,-866370393 
TX,3058467734,RX,3058467734,DROP_MCAST_PORT_OUT_BOUNDS,0,DROP,90
latencia,2,10,2,11,2,10,2,9,2,10,2,10,2 
 mh,1,2,2,2,2,2,2,2,2,2,2,2,2 
 clonados,1,0,0,0,0,0,0,0,0,0,0,0,0 
 pkts,3775720165,105254858,18194643,16267441,-124509211,68762589,-151951242,39004265,50047987,-115868947,68392180,79100170,100093710 
TX,3058041958,RX,3058041958,DROP_MCAST_PORT_OUT_BOUNDS,0,DROP,94
