[0]:30566897 [1]:2602845 [2]:91 [3]:367
[0]:30776562 [1]:2638788 [2]:89 [3]:65
[0]:30974776 [1]:2672796 [2]:89 [3]:369
[0]:31172780 [1]:2706834 [2]:89 [3]:356
[0]:31374530 [1]:2741394 [2]:89 [3]:373
[0]:31565058 [1]:2774132 [2]:89 [3]:60
[0]:31776450 [1]:2810303 [2]:89 [3]:57
[0]:31986462 [1]:2846273 [2]:89 [3]:359
[0]:32208117 [1]:2884322 [2]:89 [3]:71
[0]:32395851 [1]:2916597 [2]:89 [3]:66
[0]:32597717 [1]:2951225 [2]:89 [3]:358
[0]:32796679 [1]:2985425 [2]:89 [3]:357
[0]:32999775 [1]:3020320 [2]:89 [3]:356
[0]:33198300 [1]:3054392 [2]:89 [3]:68
[0]:33452173 [1]:3097936 [2]:89 [3]:65
[0]:33654180 [1]:3132675 [2]:89 [3]:371
[0]:33885945 [1]:3172332 [2]:89 [3]:55
[0]:34076612 [1]:3204957 [2]:89 [3]:359
[0]:34274695 [1]:3239033 [2]:89 [3]:359
[0]:34472908 [1]:3273011 [2]:89 [3]:364
[0]:34674821 [1]:3307745 [2]:90 [3]:355
[0]:34887655 [1]:3344222 [2]:90 [3]:362
[0]:35082377 [1]:3377544 [2]:90 [3]:358
[0]:35276436 [1]:3410866 [2]:90 [3]:362
[0]:35465691 [1]:3443314 [2]:90 [3]:74
[0]:35661373 [1]:3476843 [2]:90 [3]:362
[0]:35867712 [1]:3512310 [2]:90 [3]:77
[0]:36076257 [1]:3547981 [2]:90 [3]:64
[0]:36281822 [1]:3583352 [2]:90 [3]:359
[0]:36479813 [1]:3617423 [2]:90 [3]:366
[0]:36677795 [1]:3651523 [2]:90 [3]:366
[0]:36878964 [1]:3686066 [2]:90 [3]:351
[0]:37073820 [1]:3719565 [2]:90 [3]:361
[0]:37279419 [1]:3754946 [2]:90 [3]:64
[0]:37481174 [1]:3789614 [2]:90 [3]:354
[0]:37675372 [1]:3823115 [2]:90 [3]:359
[0]:37862251 [1]:3855217 [2]:90 [3]:363
[0]:38058555 [1]:3888932 [2]:90 [3]:64
[0]:38253748 [1]:3922383 [2]:90 [3]:60
[0]:38452797 [1]:3956618 [2]:90 [3]:65
[0]:38658039 [1]:3991862 [2]:90 [3]:75
[0]:38852528 [1]:4025142 [2]:90 [3]:365
[0]:39078273 [1]:4063847 [2]:90 [3]:359
[0]:39282468 [1]:4098938 [2]:90 [3]:351
[0]:39476815 [1]:4132300 [2]:90 [3]:66
[0]:39731972 [1]:4176055 [2]:90 [3]:351
[0]:39934632 [1]:4210825 [2]:90 [3]:61
[0]:40127002 [1]:4243968 [2]:90 [3]:365
[0]:40315188 [1]:4276181 [2]:90 [3]:364
[0]:40519019 [1]:4311216 [2]:90 [3]:362
[0]:40717292 [1]:4345170 [2]:90 [3]:361
[0]:40923098 [1]:4380469 [2]:90 [3]:73
[0]:41141173 [1]:4417899 [2]:90 [3]:71
[0]:41341717 [1]:4452270 [2]:90 [3]:363
[0]:41543648 [1]:4486843 [2]:90 [3]:369
[0]:41741321 [1]:4520736 [2]:90 [3]:357
[0]:41936033 [1]:4554188 [2]:90 [3]:362
[0]:42199677 [1]:4599464 [2]:90 [3]:54
[0]:42403056 [1]:4634399 [2]:90 [3]:64
[0]:42608869 [1]:4669535 [2]:90 [3]:369
[0]:42808557 [1]:4703880 [2]:90 [3]:66
[0]:43008795 [1]:4738159 [2]:90 [3]:358
[0]:43218074 [1]:4774120 [2]:90 [3]:56
[0]:43419459 [1]:4808553 [2]:90 [3]:357
[0]:43636871 [1]:4845823 [2]:90 [3]:359
[0]:43834794 [1]:4879863 [2]:90 [3]:372
[0]:44029185 [1]:4913270 [2]:90 [3]:66
[0]:44235317 [1]:4948716 [2]:90 [3]:357
[0]:44432768 [1]:4982458 [2]:90 [3]:353
[0]:44627101 [1]:5015835 [2]:90 [3]:364
[0]:44825094 [1]:5049792 [2]:90 [3]:59
[0]:45027053 [1]:5084367 [2]:90 [3]:59
[0]:45224976 [1]:5118253 [2]:90 [3]:76
