latencia,172,221,254,252,213,265,315,327,340,321,323,313,302 
 mh,96,94,90,90,90,90,95,107,116,124,130,134,138 
 clonados,1415020,1313893,2565176,1738953,2573958,1785678,3449928,2346438,3433455,2362751,3441677,2324938,3990120 
 pkts,14633513,15788558,14966309,15652064,15037003,15821802,14950934,15772692,14860276,15859435,14917813,15660424,17280854 
TX,201201677,RX,201201677,CLONE_E2I,32741985,DROP,95
latencia,187,159,194,325,311,305,319,322,312,313,339,324,323 
 mh,95,95,85,83,97,110,119,126,131,135,139,141,141 
 clonados,1407660,1163898,1680992,2319117,3442962,2355183,3434271,2354694,3458969,2335223,3472066,2346501,3954027 
 pkts,14579497,15829985,14915533,15797543,14921447,15810339,14881409,15772279,15023110,15674767,15100957,15790407,17116686 
TX,201213959,RX,201213959,CLONE_E2I,33725563,DROP,90
latencia,192,205,254,221,257,239,228,244,253,270,238,243,267 
 mh,94,94,89,90,90,90,90,90,90,90,90,90,90 
 clonados,1408761,1215545,2580562,1747307,2579857,1745515,2575428,1759158,2559796,1759456,2552784,1753872,2979058 
 pkts,14570524,15644730,15058085,15772694,14998313,15747012,14984180,15809241,14910677,15840352,14836288,15732648,17393142 
TX,201297886,RX,201297886,CLONE_E2I,27217099,DROP,96
latencia,170,229,265,271,258,241,244,264,247,260,260,292,326 
 mh,95,94,89,90,90,90,90,90,90,90,90,90,101 
 clonados,1410967,1195505,2564936,1775062,2580750,1749846,2548621,1776419,2551266,1773960,2563513,2040737,3965682 
 pkts,14615751,15589522,14991586,15922707,14999385,15762388,14816763,15908744,14848725,15894078,14922718,15831436,17167472 
TX,201271275,RX,201271275,CLONE_E2I,28497264,DROP,89
latencia,176,189,182,329,308,314,311,321,311,322,312,325,295 
 mh,96,95,85,83,97,110,119,126,131,135,139,141,141 
 clonados,1399170,1150283,1698519,2312897,3446547,2359667,3410778,2382253,3421694,2346011,3449080,2349037,3997094 
 pkts,14511975,15738330,15058906,15775606,14947901,15827971,14784466,15909079,14848403,15777600,14938106,15724906,17374804 
TX,201218053,RX,201218053,CLONE_E2I,33723030,DROP,98
latencia,168,216,276,313,311,317,294,308,316,294,299,318,323 
 mh,96,94,90,90,101,113,121,128,133,136,140,142,143 
 clonados,1387644,1366139,2582270,2125096,3457851,2340754,3451999,2368208,3414913,2361642,3432243,2348610,3992870 
 pkts,14383847,15829464,15133811,15604655,15059130,15720332,14994766,15807626,14850014,15832654,14877673,15723270,17357824 
TX,201175066,RX,201175066,CLONE_E2I,34630239,DROP,92
latencia,169,216,247,275,319,319,315,333,319,311,337,322,300 
 mh,96,95,89,90,101,112,120,127,132,136,139,141,143 
 clonados,1399237,1167768,2551248,2112585,3456074,2336585,3443090,2341377,3440059,2354284,3456977,2330754,3997551 
 pkts,14498141,15850876,14875959,15905707,14960085,15672104,14977704,15752858,14906713,15737645,15041796,15695959,17319989 
TX,201195536,RX,201195536,CLONE_E2I,34387589,DROP,102
latencia,164,224,211,306,302,317,331,313,297,329,303,310,327 
 mh,96,95,85,82,96,108,117,125,131,136,139,141,142 
 clonados,1412296,1153494,1679059,2288078,3425860,2369410,3427666,2370983,3443566,2339679,3458146,2363606,3954663 
 pkts,14612377,15768959,14903103,15849525,14865722,15795151,14903997,15833120,14976032,15700915,15024869,15854691,17127545 
TX,201216006,RX,201216006,CLONE_E2I,33686506,DROP,96
latencia,188,206,265,275,240,241,262,251,234,258,247,262,217 
 mh,94,96,94,94,94,94,94,94,94,94,94,94,94 
 clonados,1397348,1464413,2577587,1758301,2539332,1773409,2575279,1746111,2562775,1750302,2588599,1742890,2977873 
 pkts,14473370,15768349,15037306,15772302,14795364,15867651,15017902,15699275,14967473,15737537,15100864,15644122,17397948 
TX,201279463,RX,201279463,CLONE_E2I,27454219,DROP,93
latencia,187,259,222,248,243,263,259,286,253,258,254,217,217 
 mh,96,96,95,95,95,95,95,95,95,95,95,95,95 
 clonados,1415834,1551051,2576702,1750552,2583895,1747017,2585842,1742535,2570933,1751966,2573049,1750115,2958836 
 pkts,14639834,15631897,15044590,15749170,15044462,15679163,15112338,15699507,14976931,15728443,15000684,15739668,17222541 
TX,201269228,RX,201269228,CLONE_E2I,27558327,DROP,94
