## fixo resultado de 10 execuções

latencia, 318, 322, 328, 327, 324, 329, 322, 330, 323, 330, 323, 322, 322 
mh, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
clonados, 3458192, 2539552, 3645711, 2529924, 3643939, 2535030, 3646033, 2524367, 3647154, 2535959, 3648949, 2533073, 4220702 
pkts, 14153968, 15811395, 14969470, 15780025, 14953742, 15799936, 14964601, 15757195, 14966624, 15807676, 14970392, 15790382, 17318031 
TX, 201043443, RX, 201043443,CLONE_E2I, 41108592, DROP, 92

## janela_20 resultado de 10 execuções

latencia, 182, 293, 298, 302, 303, 318, 308, 307, 319, 318, 305, 319, 315 
mh, 94, 89, 107, 119, 128, 133, 137, 140, 143, 146, 147, 148, 148 
clonados, 1505038, 2011704, 3280649, 2230753, 3360419, 2283911, 3353196, 2318402, 3442739, 2336583, 3455415, 2347654, 3988403 
pkts, 14385697, 15748655, 14996211, 15735447, 14973795, 15716715, 14948638, 15828219, 14927117, 15699344, 15001447, 15745134, 17308156 
TX, 201014581, RX, 201014581,CLONE_E2I, 35914872, DROP, 92

## janela_21 resultado de 10 execuções

latencia, 177, 212, 237, 281, 276, 282, 287, 296, 288, 293, 291, 292, 289 
mh, 95, 94, 89, 88, 95, 101, 106, 110, 114, 117, 119, 120, 122 
clonados, 1405393, 1274198, 2305705, 1992794, 3008708, 2056306, 3090290, 2118817, 3085742, 2113527, 3098813, 2135106, 3676777 
pkts, 14551882, 15744067, 14998518, 15780197, 14962881, 15770391, 14942445, 15796442, 14916835, 15778342, 14976176, 15739753, 17275880 
TX, 201233814, RX, 201233814,CLONE_E2I, 31362182, DROP, 94

## janela_22 resultado de 10 execuções

latencia, 180, 194, 192, 237, 256, 287, 295, 302, 298, 300, 304, 312, 301 
mh, 85, 107, 98, 92, 92, 93, 96, 101, 105, 109, 112, 115, 118 
clonados, 1191407, 1156599, 1777841, 1577413, 2741598, 2080866, 3180720, 2233345, 3277492, 2225621, 3269816, 2232551, 3786192 
pkts, 14751535, 15742365, 15031978, 15818668, 14962250, 15739773, 14941553, 15777686, 14985572, 15737760, 14962735, 15762048, 17318337 
TX, 201532267, RX, 201532267,CLONE_E2I, 30731467, DROP, 96

## janela_23 resultado de 10 execuções

latencia, 171, 202, 191, 201, 184, 214, 216, 273, 282, 285, 275, 300, 291 
mh, 56, 114, 108, 103, 98, 95, 92, 90, 91, 93, 94, 95, 98 
clonados, 782859, 1213924, 1687307, 1157520, 1689593, 1303475, 2127956, 1869916, 3010271, 2055494, 2996872, 2116600, 3578687 
pkts, 15328408, 15704984, 15007665, 15795177, 15006818, 15798299, 14980938, 15728265, 14991305, 15789558, 14910389, 15779267, 17307070 
TX, 202128149, RX, 202128149,CLONE_E2I, 25590478, DROP, 95

