latencia,163,320,314,296,316,333,324,321,311,332,311,303,325 
 mh,83,104,147,155,157,156,157,157,157,157,157,163,164 
 clonados,1516593,2296345,3464476,2351394,3443621,2308837,3461756,2351555,3470136,2336408,3438423,3460374,3985673 
 pkts,14487797,15619020,15058350,15789041,14929465,15528411,15077282,15737093,15083040,15684225,14942312,14977851,17252008 
TX,200165895,RX,200165895,CLONE_E2I,37885591,DROP,94
latencia,193,312,319,337,315,325,311,327,320,321,337,322,330 
 mh,81,104,147,155,158,157,157,157,157,156,157,156,158 
 clonados,1509634,2338361,3441321,2339983,3444293,2350680,3472097,2344142,3417086,2342528,3448326,2366853,3994652 
 pkts,14428145,15764976,14896211,15684739,14968397,15723548,15109535,15732931,14833679,15709377,14978989,15802461,17363989 
TX,200996977,RX,200996977,CLONE_E2I,36809956,DROP,95
latencia,150,329,328,318,281,325,332,321,312,332,319,328,310 
 mh,83,104,147,155,157,156,157,157,157,156,157,156,158 
 clonados,1505365,2339515,3432479,2351498,3448572,2372358,3431527,2363308,3440471,2322049,3447554,2358217,3989241 
 pkts,14389904,15782879,14876695,15740793,14995996,15874359,14875167,15817256,14949282,15649131,14944000,15761849,17341713 
TX,200999024,RX,200999024,CLONE_E2I,36802154,DROP,95
latencia,176,321,310,341,298,322,294,313,311,321,312,341,333 
 mh,80,103,147,155,157,156,158,157,157,157,157,156,158 
 clonados,1522633,2328412,3443923,2336060,3467953,2330659,3442399,2364913,3447868,2327152,3437062,2384816,3951190 
 pkts,14537234,15743056,14918775,15686325,15071024,15698795,14917662,15845643,14945910,15671788,14907592,15912631,17142589 
TX,200999024,RX,200999024,CLONE_E2I,36785040,DROP,98
latencia,167,326,327,305,324,310,313,321,318,324,299,311,319 
 mh,80,103,146,155,158,157,157,157,157,156,157,156,158 
 clonados,1491498,2323707,3424544,2372850,3457894,2336186,3422124,2384148,3409320,2365440,3447198,2377946,3988765 
 pkts,14262247,15770532,14856619,15855793,15009926,15682030,14877408,15899082,14807159,15857408,14932513,15855032,17331228 
TX,200996977,RX,200996977,CLONE_E2I,36801620,DROP,95
latencia,184,286,277,325,328,318,324,337,320,330,331,337,322 
 mh,83,101,146,155,157,156,157,157,157,157,158,156,158 
 clonados,1505269,2308256,3447976,2354536,3421369,2367718,3436338,2363547,3450740,2324048,3478408,2328122,3985014 
 pkts,14392943,15755424,14974429,15773378,14856985,15791915,14956675,15771296,15024827,15647500,15100451,15669708,17283493 
TX,200999024,RX,200999024,CLONE_E2I,36771341,DROP,90
latencia,205,328,307,325,294,328,311,305,323,306,331,322,303 
 mh,81,103,147,155,157,156,157,157,157,157,157,156,158 
 clonados,1497180,2348838,3411326,2381064,3425993,2349907,3427496,2385114,3411745,2390161,3388199,2402699,3970656 
 pkts,14314339,15916314,14780402,15902361,14866356,15754967,14880949,15938585,14789329,15943329,14693027,16026581,17190438 
TX,200996977,RX,200996977,CLONE_E2I,36790378,DROP,93
latencia,201,306,319,318,308,328,323,329,323,329,308,314,323 
 mh,81,102,147,155,157,156,158,157,157,156,156,156,158 
 clonados,1499732,2330169,3447250,2339537,3453643,2343970,3453894,2351155,3426166,2351473,3441853,2370985,3981364 
 pkts,14349781,15775336,14975481,15706049,14996015,15677729,15055945,15753892,14890031,15747111,14959430,15836456,17275768 
TX,200999024,RX,200999024,CLONE_E2I,36791191,DROP,86
latencia,187,325,319,333,344,333,324,320,275,334,324,321,311 
 mh,81,102,147,155,157,156,158,157,157,157,157,156,158 
 clonados,1510049,2330006,3411084,2374385,3451467,2341922,3442426,2356671,3449574,2348630,3422301,2343171,4006145 
 pkts,14429765,15777257,14796066,15868924,14976149,15721841,14947357,15838189,14932121,15777238,14824454,15721322,17386293 
TX,200996977,RX,200996977,CLONE_E2I,36787831,DROP,87
latencia,194,312,290,313,293,337,321,337,304,314,299,325,302 
 mh,81,103,147,155,157,156,157,157,157,156,157,156,158 
 clonados,1501262,2337246,3453688,2353554,3421022,2370226,3457958,2361507,3443494,2338298,3429261,2363740,3977229 
 pkts,14344745,15787417,14982925,15736621,14869109,15831402,15015332,15838261,14916553,15750251,14852329,15818488,17253544 
TX,200996977,RX,200996977,CLONE_E2I,36808485,DROP,98
