[0]:183902946 [1]:32829658 [2]:154 [3]:352
[0]:184104738 [1]:32876240 [2]:153 [3]:56
[0]:184296073 [1]:32920445 [2]:153 [3]:60
[0]:184497510 [1]:32967038 [2]:153 [3]:367
[0]:184721501 [1]:33018758 [2]:153 [3]:357
[0]:184923028 [1]:33065336 [2]:153 [3]:368
[0]:185128470 [1]:33112847 [2]:153 [3]:357
[0]:185329966 [1]:33159406 [2]:153 [3]:361
[0]:185520435 [1]:33203427 [2]:153 [3]:358
[0]:185796608 [1]:33267128 [2]:153 [3]:369
[0]:185997633 [1]:33313569 [2]:153 [3]:359
[0]:186188280 [1]:33357613 [2]:153 [3]:351
[0]:186386361 [1]:33403391 [2]:153 [3]:368
[0]:186576590 [1]:33447246 [2]:153 [3]:364
[0]:186770823 [1]:33492105 [2]:153 [3]:355
[0]:186990831 [1]:33543037 [2]:155 [3]:57
[0]:187182425 [1]:33587309 [2]:155 [3]:358
[0]:187379002 [1]:33632783 [2]:155 [3]:358
[0]:187595753 [1]:33682802 [2]:155 [3]:56
[0]:187784134 [1]:33726349 [2]:155 [3]:361
[0]:188006740 [1]:33777809 [2]:155 [3]:65
[0]:188214801 [1]:33825879 [2]:155 [3]:362
[0]:188413043 [1]:33871622 [2]:155 [3]:360
[0]:188604214 [1]:33915803 [2]:155 [3]:364
[0]:188801091 [1]:33961298 [2]:155 [3]:362
[0]:188995118 [1]:34006172 [2]:155 [3]:359
[0]:189185440 [1]:34050126 [2]:155 [3]:355
[0]:189380970 [1]:34095260 [2]:155 [3]:353
[0]:189574923 [1]:34140077 [2]:155 [3]:368
[0]:189767781 [1]:34184667 [2]:157 [3]:357
[0]:189969340 [1]:34231301 [2]:157 [3]:365
[0]:190166397 [1]:34276890 [2]:157 [3]:355
[0]:190376241 [1]:34325243 [2]:157 [3]:365
[0]:190577323 [1]:34371751 [2]:157 [3]:364
[0]:190769325 [1]:34416145 [2]:157 [3]:361
[0]:190966045 [1]:34461653 [2]:157 [3]:365
[0]:191163853 [1]:34507317 [2]:157 [3]:362
[0]:191353800 [1]:34551178 [2]:157 [3]:57
[0]:191555459 [1]:34597838 [2]:157 [3]:363
[0]:191752637 [1]:34643405 [2]:157 [3]:361
[0]:191949147 [1]:34688808 [2]:157 [3]:364
[0]:192145873 [1]:34734191 [2]:157 [3]:361
[0]:192339347 [1]:34778865 [2]:157 [3]:362
[0]:192577951 [1]:34833970 [2]:158 [3]:366
[0]:192776126 [1]:34879722 [2]:158 [3]:359
[0]:192977661 [1]:34926354 [2]:158 [3]:363
[0]:193186698 [1]:34974596 [2]:158 [3]:358
[0]:193378758 [1]:35018993 [2]:158 [3]:357
[0]:193600647 [1]:35070274 [2]:158 [3]:362
[0]:193796695 [1]:35115585 [2]:158 [3]:364
[0]:193992824 [1]:35161037 [2]:158 [3]:367
[0]:194194554 [1]:35207583 [2]:158 [3]:360
[0]:194425661 [1]:35261036 [2]:158 [3]:362
[0]:194619838 [1]:35305894 [2]:158 [3]:357
[0]:194813935 [1]:35350706 [2]:158 [3]:368
[0]:195049094 [1]:35405001 [2]:158 [3]:55
[0]:195243163 [1]:35449811 [2]:158 [3]:368
[0]:195444742 [1]:35496365 [2]:159 [3]:361
[0]:195653485 [1]:35544614 [2]:159 [3]:59
[0]:195851487 [1]:35590362 [2]:159 [3]:358
[0]:196044587 [1]:35634851 [2]:159 [3]:354
[0]:196254716 [1]:35683389 [2]:159 [3]:355
[0]:196448392 [1]:35728174 [2]:159 [3]:365
[0]:196642763 [1]:35773073 [2]:159 [3]:357
[0]:196836855 [1]:35817895 [2]:159 [3]:59
[0]:197038352 [1]:35864476 [2]:159 [3]:363
[0]:197228834 [1]:35908440 [2]:159 [3]:362
[0]:197422844 [1]:35953263 [2]:159 [3]:366
[0]:197618246 [1]:35998444 [2]:159 [3]:58
[0]:197814653 [1]:36043802 [2]:159 [3]:359
[0]:198016453 [1]:36090449 [2]:159 [3]:64
[0]:198213993 [1]:36136190 [2]:160 [3]:357
[0]:198411914 [1]:36181937 [2]:160 [3]:54
[0]:198603178 [1]:36226114 [2]:160 [3]:358
[0]:198796418 [1]:36270692 [2]:160 [3]:363
[0]:199042416 [1]:36327539 [2]:160 [3]:360
[0]:199239867 [1]:36373145 [2]:160 [3]:362
[0]:199464510 [1]:36425062 [2]:160 [3]:364
[0]:199662402 [1]:36470729 [2]:160 [3]:366
[0]:199863852 [1]:36517335 [2]:160 [3]:370
[0]:200059243 [1]:36562550 [2]:160 [3]:361
[0]:200251240 [1]:36606946 [2]:160 [3]:58
[0]:200457218 [1]:36654548 [2]:160 [3]:364
[0]:200659257 [1]:36701183 [2]:160 [3]:366
[0]:200856662 [1]:36746829 [2]:160 [3]:367
[0]:200996977 [1]:36779307 [2]:161 [3]:363
[0]:200996977 [1]:36779307 [2]:161 [3]:363
[0]:200996977 [1]:36779307 [2]:161 [3]:363
