## config_9 resultado de 10 execuções

latencia, 175, 287, 301, 300, 303, 301, 305, 316, 310, 313, 308, 319, 310 
mh, 93, 88, 105, 115, 122, 128, 133, 137, 140, 141, 142, 142, 143 
clonados, 1504003, 1973708, 3181742, 2178633, 3272924, 2254288, 3357621, 2292150, 3354179, 2293915, 3355437, 2291336, 3884505 
pkts, 14379867, 15780110, 14957496, 15739025, 14961256, 15758826, 14963234, 15770378, 14932802, 15770304, 14952955, 15769811, 17289566 
TX, 201025635, RX, 201025635,CLONE_E2I, 35194446, DROP, 96

## config_8 resultado de 10 execuções

latencia, 186, 307, 308, 322, 318, 318, 310, 317, 312, 322, 316, 317, 320 
mh, 87, 96, 134, 148, 153, 155, 155, 155, 155, 155, 155, 155, 156 
clonados, 1498980, 2276440, 3447829, 2354094, 3443436, 2354589, 3441446, 2357172, 3431281, 2358423, 3442075, 2356495, 3984582 
pkts, 14331147, 15752257, 14975047, 15764594, 14960981, 15789963, 14930841, 15785882, 14898166, 15789373, 14944795, 15808077, 17268713 
TX, 200999842, RX, 200999842,CLONE_E2I, 36746846, DROP, 95

## config_7 resultado de 10 execuções

latencia, 182, 316, 311, 321, 310, 325, 317, 323, 311, 324, 317, 322, 317 
mh, 81, 102, 146, 155, 157, 156, 157, 157, 157, 156, 157, 156, 158 
clonados, 1505921, 2328085, 3437806, 2355486, 3443582, 2347246, 3444801, 2362606, 3436660, 2344618, 3437858, 2475692, 3982992 
pkts, 14393690, 15769221, 14911595, 15774402, 14953942, 15728499, 14971331, 15817222, 14917193, 15743735, 14913509, 15738237, 17282106 
TX, 200914687, RX, 200914687,CLONE_E2I, 36903358, DROP, 93

## config_6 resultado de 10 execuções

latencia, 176, 309, 296, 311, 304, 309, 302, 313, 308, 316, 301, 316, 315 
mh, 79, 109, 141, 142, 144, 142, 144, 143, 145, 143, 145, 143, 145 
clonados, 1580360, 2207636, 3275837, 2269929, 3362154, 2287519, 3352424, 2285971, 3359694, 2293332, 3355824, 2295080, 3889173 
pkts, 14311550, 15752493, 14998150, 15728586, 14996683, 15754226, 14929892, 15744832, 14965246, 15773228, 14958308, 15787561, 17317507 
TX, 201018265, RX, 201018265,CLONE_E2I, 35814939, DROP, 93

## config_5 resultado de 10 execuções

latencia, 178, 321, 319, 323, 310, 316, 307, 322, 312, 321, 319, 323, 315 
mh, 78, 117, 159, 157, 161, 157, 161, 157, 161, 157, 161, 157, 162 
clonados, 1499984, 2316760, 3429382, 2354053, 3442467, 2343026, 3439620, 2349025, 3444896, 2341254, 3452123, 2336524, 3994536 
pkts, 14347441, 15758463, 14911280, 15793554, 14955692, 15747283, 14941666, 15767625, 14971638, 15737669, 14999131, 15719245, 17345057 
TX, 200995748, RX, 200995748,CLONE_E2I, 36743655, DROP, 93

## config_4 resultado de 10 execuções

latencia, 180, 314, 304, 316, 308, 312, 308, 314, 309, 314, 302, 304, 305 
mh, 76, 119, 154, 150, 154, 150, 154, 150, 154, 150, 154, 150, 155 
clonados, 1543958, 2262683, 3357655, 2292712, 3361235, 2281286, 3360720, 2288225, 3362136, 2280103, 3358590, 2291618, 3883743 
pkts, 14390696, 15723621, 14972207, 15780563, 14972680, 15705351, 14994406, 15755655, 14976257, 15710168, 14969564, 15769772, 17297319 
TX, 201018265, RX, 201018265,CLONE_E2I, 35924669, DROP, 94

## config_3 resultado de 10 execuções

latencia, 194, 310, 297, 304, 299, 311, 296, 314, 307, 305, 292, 307, 305 
mh, 77, 119, 150, 145, 150, 145, 150, 145, 150, 145, 151, 145, 150 
clonados, 1601668, 2191462, 3265587, 2341433, 3272900, 2225028, 3274450, 2223728, 3271286, 2220556, 3268919, 2234421, 3788322 
pkts, 14343532, 15764418, 14952174, 15686929, 14969441, 15742260, 14990309, 15738231, 14968021, 15721151, 14960461, 15792424, 17323201 
TX, 200952557, RX, 200952557,CLONE_E2I, 35179767, DROP, 94

## config_2 resultado de 10 execuções

latencia, 189, 290, 293, 294, 293, 301, 289, 294, 293, 298, 295, 302, 302 
mh, 75, 120, 145, 138, 145, 138, 145, 138, 145, 138, 145, 138, 146 
clonados, 1603622, 2165915, 3173097, 2181285, 3170346, 2177734, 3174817, 2178890, 3177509, 2167495, 3178223, 2177740, 3677959 
pkts, 14333746, 15845389, 14908687, 15816210, 14907263, 15777533, 14930881, 15792320, 14958712, 15749292, 14940240, 15809367, 17271138 
TX, 201040782, RX, 201040782,CLONE_E2I, 34204637, DROP, 93

## config_1 resultado de 10 execuções

latencia, 179, 321, 318, 321, 307, 319, 315, 315, 313, 321, 312, 314, 317 
mh, 73, 130, 163, 154, 163, 154, 163, 154, 163, 154, 163, 154, 164 
clonados, 1499390, 2329896, 3438395, 2354546, 3443293, 2345516, 3443861, 2356121, 3441921, 2352145, 3447720, 2350168, 3993280 
pkts, 14333007, 15778677, 14919855, 15790275, 14940065, 15733421, 14957625, 15798944, 14927218, 15768571, 14961695, 15761411, 17327229 
TX, 200998000, RX, 200998000,CLONE_E2I, 36796257, DROP, 94

