latencia,301,311,279,358,267,323,300 
 mh,0,0,0,0,0,0,0 
 clonados,19326219,19895330,20028308,19901665,19825461,19983634,20249712 
 pkts,19326219,19895330,20028307,19901666,19825461,19983635,20249711 
TX,139210329,RX,139210329,CLONE_E2I,139210329,DROP,93
latencia,263,363,294,307,290,320,279 
 mh,0,0,0,0,0,0,0 
 clonados,19388944,19821588,19994997,19884644,19902005,19799065,20419086 
 pkts,19388944,19821588,19994997,19884644,19902004,19799066,20419086 
TX,139210329,RX,139210329,CLONE_E2I,139210329,DROP,99
latencia,269,290,269,337,278,323,313 
 mh,0,0,0,0,0,0,0 
 clonados,19277501,19907312,19945816,19936285,19869214,19886120,20390128 
 pkts,19277501,19907312,19945816,19936285,19869214,19886120,20390128 
TX,139212376,RX,139212376,CLONE_E2I,139212376,DROP,97
latencia,284,406,284,276,239,398,315 
 mh,0,0,0,0,0,0,0 
 clonados,19313259,19955769,19947514,19845393,20034337,19845441,20260428 
 pkts,19313259,19955769,19947513,19845393,20034338,19845441,20260428 
TX,139202141,RX,139202141,CLONE_E2I,139202141,DROP,96
latencia,306,343,285,362,280,308,283 
 mh,0,0,0,0,0,0,0 
 clonados,19435746,19827322,19941376,19938287,19880344,19975195,20212059 
 pkts,19435746,19827322,19941376,19938287,19880344,19975195,20212059 
TX,139210329,RX,139210329,CLONE_E2I,139210329,DROP,97
latencia,295,329,270,382,299,332,316 
 mh,0,0,0,0,0,0,0 
 clonados,19378547,19973060,19925595,19869715,19859448,19945178,20256739 
 pkts,19378547,19973060,19925595,19869714,19859450,19945177,20256739 
TX,139208282,RX,139208282,CLONE_E2I,139208282,DROP,92
latencia,306,313,290,315,262,350,323 
 mh,0,0,0,0,0,0,0 
 clonados,19404972,19864685,19948063,19931024,19832026,19952892,20280761 
 pkts,19404972,19864685,19948063,19931024,19832026,19952893,20280760 
TX,139214423,RX,139214423,CLONE_E2I,139214423,DROP,94
latencia,282,352,279,325,275,302,297 
 mh,0,0,0,0,0,0,0 
 clonados,19339409,19962767,19859607,19860470,19926330,19900623,20361123 
 pkts,19339409,19962767,19859606,19860471,19926330,19900622,20361124 
TX,139210329,RX,139210329,CLONE_E2I,139210329,DROP,92
latencia,264,317,280,323,281,312,301 
 mh,0,0,0,0,0,0,0 
 clonados,19292897,19887748,19919867,19937572,19973200,19904314,20296772 
 pkts,19292897,19887748,19919867,19937572,19973200,19904313,20296773 
TX,139212370,RX,139212370,CLONE_E2I,139212370,DROP,93
latencia,258,331,258,340,267,306,285 
 mh,0,0,0,0,0,0,0 
 clonados,19360442,19905961,19853534,19934078,19939122,19830940,20386252 
 pkts,19360442,19905961,19853533,19934078,19939123,19830939,20386253 
TX,139210329,RX,139210329,CLONE_E2I,139210329,DROP,94
