latencia,170,216,204,207,238,262,313 
 mh,84,108,99,92,91,91,93 
 clonados,2254979,2170958,3173368,2663342,4813316,3403246,6587114 
 pkts,28375891,29668732,28169703,29525249,28061157,29553394,28570142 
TX,201924268,RX,201924268,CLONE_E2I,25066323,DROP,97
latencia,189,190,197,235,241,250,266 
 mh,84,107,99,92,91,91,91 
 clonados,2255845,2165526,3176015,2821622,4799243,3291629,4923709 
 pkts,28383328,29604649,28148295,29637321,27903016,29582427,28667279 
TX,201926315,RX,201926315,CLONE_E2I,23433589,DROP,98
latencia,187,189,214,269,252,243,252 
 mh,85,108,99,94,94,94,94 
 clonados,2261975,2161550,3180907,3197326,4810709,3294613,4900261 
 pkts,28434260,29559024,28211126,29599125,27966432,29643838,28506369 
TX,201920174,RX,201920174,CLONE_E2I,23807341,DROP,97
latencia,166,209,180,240,236,251,255 
 mh,85,108,100,94,94,94,94 
 clonados,2258790,2168756,3172626,2966761,4807245,3287919,4927360 
 pkts,28421507,29579751,28162372,29494357,28014785,29554375,28697121 
TX,201924268,RX,201924268,CLONE_E2I,23589457,DROP,93
latencia,208,192,172,243,239,253,265 
 mh,83,107,98,92,92,92,92 
 clonados,2250092,2164163,3175891,3017135,4810718,3286558,4937564 
 pkts,28314777,29541542,28205240,29557322,27993992,29537620,28775822 
TX,201926315,RX,201926315,CLONE_E2I,23642121,DROP,98
latencia,167,180,173,242,312,327,307 
 mh,85,107,99,92,92,98,104 
 clonados,2275616,2155288,3173378,2894235,6467560,4402870,6584253 
 pkts,28544923,29442114,28187471,29577309,28041050,29573114,28496877 
TX,201862858,RX,201862858,CLONE_E2I,27953200,DROP,94
latencia,185,214,194,209,256,306,308 
 mh,83,107,99,92,90,90,95 
 clonados,2258220,2167444,3168026,2546882,4846826,4228015,6605760 
 pkts,28405481,29682008,28068554,29503775,28215754,29372495,28663919 
TX,201911986,RX,201911986,CLONE_E2I,25821173,DROP,94
latencia,156,206,185,261,270,248,255 
 mh,83,107,98,92,91,91,91 
 clonados,2253652,2178514,3168769,2876394,4808550,3281749,4900101 
 pkts,28361376,29693855,28098242,29492543,28064594,29684092,28574600 
TX,201969302,RX,201969302,CLONE_E2I,23467729,DROP,93
latencia,181,188,171,243,231,259,262 
 mh,83,107,97,91,91,91,91 
 clonados,2255219,2168885,3158050,2933701,4825847,3291715,4903317 
 pkts,28380834,29710557,27976243,29653341,28083486,29629649,28506534 
TX,201940644,RX,201940644,CLONE_E2I,23536734,DROP,97
latencia,181,203,193,249,251,298,314 
 mh,84,108,100,95,95,95,100 
 clonados,2253419,2183374,3171979,3193005,4808477,4029341,6590154 
 pkts,28370924,29759266,28122174,29475307,28004631,29582580,28564352 
TX,201879234,RX,201879234,CLONE_E2I,26229749,DROP,100
