latencia,326,334,319,334,316,332,319 
 mh,0,0,0,0,0,0,0 
 clonados,6634613,4762542,6855471,4718065,6805260,4753959,6991802 
 pkts,27157204,29746533,28093298,29545873,27872587,29663974,28655492 
TX,200734961,RX,200734961,CLONE_E2I,41521712,DROP,97
latencia,304,326,310,321,325,336,337 
 mh,0,0,0,0,0,0,0 
 clonados,6641694,4740004,6872466,4711124,6851477,4723390,6999194 
 pkts,27184619,29590607,28176562,29454278,28106913,29514931,28698863 
TX,200726773,RX,200726773,CLONE_E2I,41539349,DROP,90
latencia,300,330,330,327,321,332,328 
 mh,0,0,0,0,0,0,0 
 clonados,6689838,4730272,6841569,4735461,6858842,4728786,6944236 
 pkts,27383304,29561373,28059021,29593167,28108682,29604021,28421298 
TX,200730867,RX,200730867,CLONE_E2I,41529004,DROP,95
latencia,328,327,325,336,323,332,334 
 mh,0,0,0,0,0,0,0 
 clonados,6648835,4760934,6848425,4727250,6831475,4731822,6985105 
 pkts,27212231,29705261,28058150,29587047,27960403,29591903,28613825 
TX,200728820,RX,200728820,CLONE_E2I,41533846,DROP,97
latencia,305,334,318,332,309,332,323 
 mh,0,0,0,0,0,0,0 
 clonados,6696312,4717010,6840294,4744932,6842317,4724188,6968447 
 pkts,27409644,29527884,28023366,29647720,28009398,29540654,28572201 
TX,200730867,RX,200730867,CLONE_E2I,41533500,DROP,98
latencia,314,337,332,332,325,336,310 
 mh,0,0,0,0,0,0,0 
 clonados,6656594,4750884,6831078,4747422,6858454,4709504,6980804 
 pkts,27244227,29646596,28001041,29607374,28139294,29489178,28601110 
TX,200728820,RX,200728820,CLONE_E2I,41534740,DROP,94
latencia,311,329,310,318,318,324,337 
 mh,0,0,0,0,0,0,0 
 clonados,6671691,4733023,6845397,4739962,6840234,4722948,6986171 
 pkts,27305835,29550476,28074894,29643404,27994150,29563345,28594669 
TX,200726773,RX,200726773,CLONE_E2I,41539426,DROP,97
latencia,317,328,320,338,323,326,324 
 mh,0,0,0,0,0,0,0 
 clonados,6673339,4698609,6851213,4727291,6850661,4753273,6976967 
 pkts,27313885,29420186,28109126,29555290,28082586,29694035,28555759 
TX,200730867,RX,200730867,CLONE_E2I,41531353,DROP,97
latencia,333,331,328,322,314,334,311 
 mh,0,0,0,0,0,0,0 
 clonados,6640488,4759666,6826898,4727641,6861158,4732803,6981007 
 pkts,27181695,29737986,27942268,29526384,28157083,29617745,28569753 
TX,200732914,RX,200732914,CLONE_E2I,41529661,DROP,90
latencia,335,328,299,346,338,333,321 
 mh,0,0,0,0,0,0,0 
 clonados,6682543,4722471,6832443,4745149,6826953,4760392,6963157 
 pkts,27351191,29586358,27962134,29587834,28014001,29655003,28572299 
TX,200728820,RX,200728820,CLONE_E2I,41533108,DROP,93
