## fixo resultado de 10 execuções

latencia, 317, 330, 319, 330, 321, 331, 324 
mh, 0, 0, 0, 0, 0, 0, 0 
clonados, 6663594, 4737541, 6844525, 4732429, 6842683, 4734106, 6977689 
pkts, 27274383, 29607326, 28049986, 29574837, 28044509, 29593478, 28585526 
TX, 200730048, RX, 200730048,CLONE_E2I, 41532569, DROP, 94

## janela_20 resultado de 10 execuções

latencia, 183, 313, 305, 311, 306, 316, 312 
mh, 86, 92, 119, 128, 132, 136, 136 
clonados, 3045640, 4266516, 6300520, 4292472, 6295122, 4284065, 6425846 
pkts, 27465233, 29565003, 28015237, 29587416, 27988303, 29536481, 28578308 
TX, 200735984, RX, 200735984,CLONE_E2I, 34910184, DROP, 94

## janela_21 resultado de 10 execuções

latencia, 188, 288, 300, 319, 313, 319, 318 
mh, 94, 90, 104, 115, 124, 131, 135 
clonados, 2874474, 3818163, 6124337, 4276481, 6466332, 4400559, 6593863 
pkts, 27566772, 29614281, 27968332, 29573320, 28018973, 29567384, 28571642 
TX, 200880707, RX, 200880707,CLONE_E2I, 34554212, DROP, 93

## janela_22 resultado de 10 execuções

latencia, 177, 209, 236, 270, 266, 282, 279 
mh, 95, 96, 91, 91, 94, 97, 101 
clonados, 2674249, 2428403, 4644610, 3466839, 5312444, 3725969, 5579935 
pkts, 27892994, 29634632, 27992866, 29584306, 28050751, 29566092, 28557410 
TX, 201279053, RX, 201279053,CLONE_E2I, 27832451, DROP, 94

## janela_23 resultado de 10 execuções

latencia, 179, 198, 188, 239, 252, 269, 279 
mh, 83, 107, 98, 92, 92, 92, 94 
clonados, 2257780, 2168445, 3171900, 2911040, 4979849, 3579765, 5585959 
pkts, 28399330, 29624149, 28134942, 29551564, 28034889, 29571358, 28602301 
TX, 201918536, RX, 201918536,CLONE_E2I, 24654741, DROP, 96

