latencia,171,335,311,312,315,313,321 
 mh,77,121,158,154,159,154,160 
 clonados,2997132,4403531,6426361,4410739,6476004,4389452,6605850 
 pkts,27427166,29637094,27837241,29594132,28101771,29538561,28592855 
TX,200728820,RX,200728820,CLONE_E2I,35709069,DROP,98
latencia,202,320,309,318,321,333,296 
 mh,77,122,158,153,159,154,159 
 clonados,3085808,4381930,6489639,4379916,6473186,4356616,6612802 
 pkts,27521036,29546339,28102701,29485743,28068366,29349565,28646882 
TX,200720632,RX,200720632,CLONE_E2I,35779897,DROP,92
latencia,190,319,315,310,329,339,335 
 mh,77,119,158,154,159,154,160 
 clonados,2990047,4386392,6467684,4376720,6458073,4423881,6578637 
 pkts,27550494,29555455,28001420,29392211,28040485,29702922,28483786 
TX,200726773,RX,200726773,CLONE_E2I,35681434,DROP,92
latencia,167,328,315,329,332,327,315 
 mh,78,120,158,154,159,154,160 
 clonados,2968952,4404074,6457639,4386494,6491608,4378777,6607578 
 pkts,27360571,29720426,27954244,29441486,28142132,29455354,28648466 
TX,200722679,RX,200722679,CLONE_E2I,35695122,DROP,93
latencia,182,323,321,328,319,331,317 
 mh,78,121,158,154,159,154,160 
 clonados,3054044,4362613,6453819,4401694,6456165,4421331,6578763 
 pkts,27563785,29473891,27981084,29570750,27974280,29687588,28475395 
TX,200726773,RX,200726773,CLONE_E2I,35728429,DROP,96
latencia,186,333,313,309,304,318,328 
 mh,78,119,158,154,159,154,160 
 clonados,2979318,4381635,6449560,4403608,6487353,4385504,6600813 
 pkts,27453560,29537362,27930503,29551832,28139356,29530354,28585853 
TX,200728820,RX,200728820,CLONE_E2I,35687791,DROP,92
latencia,181,250,245,263,264,268,243 
 mh,80,96,102,99,103,100,103 
 clonados,3311630,3269629,4812072,3252553,4821972,3269301,4905303 
 pkts,27423205,29635200,28037771,29456445,28161461,29603887,28582799 
TX,200900768,RX,200900768,CLONE_E2I,27642460,DROP,94
latencia,198,323,295,328,315,329,314 
 mh,78,121,158,154,159,154,160 
 clonados,3042341,4371569,6461658,4418231,6436716,4430987,6579586 
 pkts,27378484,29583496,28020512,29634057,27899257,29720816,28486057 
TX,200722679,RX,200722679,CLONE_E2I,35741088,DROP,96
latencia,190,317,303,307,310,327,323 
 mh,77,119,158,154,159,154,160 
 clonados,2966923,4385078,6451865,4413670,6471748,4356423,6622475 
 pkts,27351600,29637438,27977053,29654433,28024608,29358582,28729200 
TX,200732914,RX,200732914,CLONE_E2I,35668182,DROP,92
latencia,175,322,308,329,311,311,327 
 mh,77,119,158,154,159,154,160 
 clonados,2990268,4363542,6478212,4418387,6461051,4390965,6583346 
 pkts,27536458,29411218,28095931,29651711,27964408,29555621,28509379 
TX,200724726,RX,200724726,CLONE_E2I,35685771,DROP,94
