## config_9 resultado de 10 execuções

latencia, 180, 316, 316, 320, 317, 317, 314 
mh, 87, 93, 124, 135, 139, 143, 143 
clonados, 2979228, 4330408, 6464422, 4394197, 6459419, 4401978, 6592432 
pkts, 27449661, 29596647, 28004264, 29547816, 27986166, 29581599, 28562460 
TX, 200728615, RX, 200728615,CLONE_E2I, 35622088, DROP, 93

## config_8 resultado de 10 execuções

latencia, 190, 304, 305, 307, 296, 311, 304 
mh, 82, 105, 139, 143, 145, 143, 145 
clonados, 3105126, 4067078, 6127474, 4178970, 6138954, 4173146, 6249879 
pkts, 27512491, 29533050, 27980985, 29563555, 28061191, 29563878, 28541300 
TX, 200756454, RX, 200756454,CLONE_E2I, 34040629, DROP, 92

## config_7 resultado de 10 execuções

latencia, 184, 317, 303, 313, 312, 319, 311 
mh, 77, 117, 152, 148, 153, 148, 154 
clonados, 3038646, 4270999, 6294850, 4286201, 6303387, 4280323, 6427515 
pkts, 27456635, 29573791, 27993846, 29543280, 28051612, 29550325, 28574067 
TX, 200743558, RX, 200743558,CLONE_E2I, 34901924, DROP, 93

## config_6 resultado de 10 execuções

latencia, 202, 296, 293, 303, 294, 304, 298 
mh, 80, 117, 143, 136, 144, 136, 143 
clonados, 3280598, 4040750, 5966550, 4062396, 5975473, 4058205, 6089374 
pkts, 27485731, 29520894, 28006101, 29563139, 28055186, 29539875, 28589619 
TX, 200760548, RX, 200760548,CLONE_E2I, 33473348, DROP, 94

## config_5 resultado de 10 execuções

latencia, 196, 294, 278, 298, 285, 296, 291 
mh, 80, 119, 140, 133, 139, 133, 140 
clonados, 3245195, 3932162, 5793403, 3940679, 5795589, 3937198, 5919809 
pkts, 27442101, 29620395, 27980716, 29573781, 28010634, 29531718, 28624741 
TX, 200784089, RX, 200784089,CLONE_E2I, 32564038, DROP, 93

## config_4 resultado de 10 execuções

latencia, 210, 287, 285, 294, 289, 293, 291 
mh, 82, 105, 116, 111, 116, 117, 122 
clonados, 3428507, 3820702, 5630096, 3844818, 5708181, 3956338, 5915502 
pkts, 27469880, 29564661, 27985890, 29611114, 27984270, 29615442, 28558151 
TX, 200789411, RX, 200789411,CLONE_E2I, 32304146, DROP, 93

## config_3 resultado de 10 execuções

latencia, 198, 293, 291, 299, 291, 296, 296 
mh, 80, 122, 140, 132, 140, 132, 140 
clonados, 3318093, 3936982, 5801577, 3955971, 5797702, 3951642, 5922983 
pkts, 27452762, 29569871, 28013940, 29587298, 27982368, 29551027, 28614948 
TX, 200772216, RX, 200772216,CLONE_E2I, 32684953, DROP, 94

## config_2 resultado de 10 execuções

latencia, 209, 273, 267, 275, 266, 273, 258 
mh, 83, 107, 117, 110, 117, 110, 117 
clonados, 3567686, 3501059, 5135908, 3501975, 5147773, 3498255, 5242720 
pkts, 27467064, 29594034, 27995097, 29556536, 28082411, 29556148, 28577625 
TX, 200828918, RX, 200828918,CLONE_E2I, 29595378, DROP, 96

## config_1 resultado de 10 execuções

latencia, 206, 325, 318, 318, 317, 318, 315 
mh, 82, 142, 165, 154, 165, 154, 165 
clonados, 3423554, 4382890, 6468529, 4393093, 6475458, 4391842, 6591334 
pkts, 27456089, 29535754, 28036190, 29531249, 28066317, 29525457, 28564865 
TX, 200715923, RX, 200715923,CLONE_E2I, 36126704, DROP, 95

