latencia,166,237,252,265,244 
 mh,97,94,94,94,94 
 clonados,3947597,4526115,6744835,4589046,6845240 
 pkts,39198888,41377205,39220943,41334358,39847160 
TX,200978554,RX,200978554,CLONE_E2I,26652833,DROP,98
latencia,190,241,254,264,321 
 mh,95,91,91,91,100 
 clonados,3928317,4272374,6762073,4784172,9205567 
 pkts,39014587,41400388,39370770,41306224,39859974 
TX,200951943,RX,200951943,CLONE_E2I,28952503,DROP,97
latencia,203,257,249,256,259 
 mh,95,92,92,92,92 
 clonados,3938876,4386376,6765574,4575258,6857020 
 pkts,39101294,41345894,39362481,41290302,39884724 
TX,200984695,RX,200984695,CLONE_E2I,26523104,DROP,97
latencia,169,258,234,325,314 
 mh,96,91,90,94,109 
 clonados,3940349,4249277,6736122,6145027,9184731 
 pkts,39114933,41443974,39165086,41455745,39755829 
TX,200935567,RX,200935567,CLONE_E2I,30255506,DROP,92
latencia,178,257,233,266,262 
 mh,97,93,93,93,93 
 clonados,3957453,4460795,6720884,4603222,6812963 
 pkts,39237831,41251556,39233095,41597679,39711615 
TX,201031776,RX,201031776,CLONE_E2I,26555317,DROP,95
latencia,188,255,243,314,312 
 mh,96,93,93,96,112 
 clonados,3946730,4500349,6740332,5994800,9151904 
 pkts,39158665,41471890,39195711,41474562,39622457 
TX,200923285,RX,200923285,CLONE_E2I,30334115,DROP,99
latencia,183,235,313,313,304 
 mh,97,91,99,113,124 
 clonados,3944819,4354347,9034318,6152938,9181689 
 pkts,39183461,41482910,39108858,41353210,39772329 
TX,200900768,RX,200900768,CLONE_E2I,32668111,DROP,89
latencia,154,236,253,274,311 
 mh,96,91,91,91,103 
 clonados,3923254,4137170,6753982,5185375,9227893 
 pkts,38951731,41362342,39324148,41316592,39993036 
TX,200947849,RX,200947849,CLONE_E2I,29227674,DROP,90
latencia,182,255,251,258,238 
 mh,96,94,94,94,94 
 clonados,3944882,4498040,6736401,4622198,6841489 
 pkts,39152050,41242695,39238534,41560391,39784883 
TX,200978554,RX,200978554,CLONE_E2I,26643011,DROP,93
latencia,185,237,249,296,319 
 mh,96,92,92,92,104 
 clonados,3939758,4364498,6775909,5147334,9205164 
 pkts,39121287,41260362,39413274,41265152,39881633 
TX,200941708,RX,200941708,CLONE_E2I,29432663,DROP,96
