latencia,316,332,324,310,316 
 mh,0,0,0,0,0 
 clonados,9382150,6661290,9541075,6633449,9735263 
 pkts,38401186,41596789,39065985,41477026,39878737 
TX,200419723,RX,200419723,CLONE_E2I,41953227,DROP,94
latencia,324,333,311,335,324 
 mh,0,0,0,0,0 
 clonados,9414161,6630968,9561646,6631664,9725757 
 pkts,38531060,41445051,39141550,41472366,39825602 
TX,200415629,RX,200415629,CLONE_E2I,41964196,DROP,96
latencia,317,333,315,336,318 
 mh,0,0,0,0,0 
 clonados,9391450,6634621,9602196,6618114,9712041 
 pkts,38438509,41494791,39303973,41430865,39749538 
TX,200417676,RX,200417676,CLONE_E2I,41958422,DROP,94
latencia,310,328,327,332,327 
 mh,0,0,0,0,0 
 clonados,9385144,6646109,9590787,6613799,9718979 
 pkts,38416552,41542812,39253557,41424255,39780500 
TX,200417676,RX,200417676,CLONE_E2I,41954818,DROP,93
latencia,321,334,330,315,322 
 mh,0,0,0,0,0 
 clonados,9352165,6660386,9544427,6650538,9751007 
 pkts,38277182,41579796,39088233,41516967,39955498 
TX,200417676,RX,200417676,CLONE_E2I,41958523,DROP,94
latencia,329,333,327,330,332 
 mh,0,0,0,0,0 
 clonados,9389782,6621756,9598247,6608614,9740276 
 pkts,38433248,41453547,39282009,41318062,39930810 
TX,200417676,RX,200417676,CLONE_E2I,41958675,DROP,92
latencia,315,319,327,334,324 
 mh,0,0,0,0,0 
 clonados,9407644,6604026,9595853,6638743,9710954 
 pkts,38506082,41347316,39305943,41507755,39750580 
TX,200417676,RX,200417676,CLONE_E2I,41957220,DROP,89
latencia,321,333,330,318,329 
 mh,0,0,0,0,0 
 clonados,9406234,6608426,9569221,6643486,9730580 
 pkts,38503853,41319710,39237517,41526160,39828389 
TX,200415629,RX,200415629,CLONE_E2I,41957947,DROP,89
latencia,314,335,308,325,331 
 mh,0,0,0,0,0 
 clonados,9408648,6630149,9584599,6622268,9713630 
 pkts,38512068,41455591,39253251,41414089,39782677 
TX,200417676,RX,200417676,CLONE_E2I,41959294,DROP,93
latencia,318,333,324,325,317 
 mh,0,0,0,0,0 
 clonados,9395947,6631565,9588678,6625088,9717478 
 pkts,38458863,41436330,39301453,41447970,39773060 
TX,200417676,RX,200417676,CLONE_E2I,41958756,DROP,95
