## fixo resultado de 10 execuções

latencia, 318, 331, 322, 326, 324 
mh, 0, 0, 0, 0, 0 
clonados, 9393332, 6632929, 9577672, 6628576, 9725596 
pkts, 38447860, 41467173, 39223347, 41453551, 39825539 
TX, 200417471, RX, 200417471,CLONE_E2I, 41958107, DROP, 92

## janela_20 resultado de 10 execuções

latencia, 194, 324, 316, 321, 314 
mh, 83, 101, 136, 146, 149 
clonados, 4568650, 6115642, 9048857, 6153013, 9189507 
pkts, 38701720, 41355012, 39204557, 41384443, 39795073 
TX, 200440807, RX, 200440807,CLONE_E2I, 35075671, DROP, 94

## janela_21 resultado de 10 execuções

latencia, 183, 314, 318, 322, 317 
mh, 91, 92, 119, 134, 141 
clonados, 4143640, 6099445, 9055318, 6147189, 9187053 
pkts, 38825443, 41390130, 39229889, 41352488, 39791467 
TX, 200589419, RX, 200589419,CLONE_E2I, 34632647, DROP, 93

## janela_22 resultado de 10 execuções

latencia, 179, 246, 253, 283, 288 
mh, 96, 92, 92, 95, 102 
clonados, 3941203, 4374934, 6977043, 5179937, 8251366 
pkts, 39123472, 41363921, 39263290, 41395421, 39811364 
TX, 200957469, RX, 200957469,CLONE_E2I, 28724483, DROP, 94

## janela_23 resultado de 10 execuções

latencia, 181, 204, 206, 285, 300 
mh, 91, 102, 93, 90, 95 
clonados, 3528378, 3158265, 5128124, 5246458, 8489194 
pkts, 39658515, 41442423, 39312327, 41358001, 39841855 
TX, 201613124, RX, 201613124,CLONE_E2I, 25550420, DROP, 93

