latencia,235,257,262,264,270 
 mh,97,100,106,100,106 
 clonados,6000235,4570333,6717010,4587693,6827682 
 pkts,38715376,41385897,39166550,41510464,39790867 
TX,200569154,RX,200569154,CLONE_E2I,28702953,DROP,92
latencia,209,264,252,252,258 
 mh,78,100,106,100,106 
 clonados,4708458,4573316,6731691,4562400,6836316 
 pkts,38746157,41400574,39257300,41302526,39903537 
TX,200610094,RX,200610094,CLONE_E2I,27412181,DROP,99
latencia,206,269,243,251,265 
 mh,82,100,106,100,106 
 clonados,5005324,4573079,6733207,4557535,6828033 
 pkts,38798948,41433874,39245735,41304885,39820511 
TX,200603953,RX,200603953,CLONE_E2I,27697178,DROP,93
latencia,234,260,263,253,259 
 mh,96,99,106,100,106 
 clonados,5994698,4567252,6737923,4572263,6806351 
 pkts,38744101,41470655,39264773,41427435,39668331 
TX,200575295,RX,200575295,CLONE_E2I,28678487,DROP,91
latencia,199,253,228,248,254 
 mh,79,100,107,100,107 
 clonados,4745911,4598611,6755282,4590568,6857010 
 pkts,38592277,41399340,39297612,41366762,39888599 
TX,200544590,RX,200544590,CLONE_E2I,27547382,DROP,94
latencia,255,248,240,259,248 
 mh,98,100,106,100,106 
 clonados,6038767,4570529,6727794,4594461,6837330 
 pkts,38506156,41359751,39283836,41557368,39864090 
TX,200571201,RX,200571201,CLONE_E2I,28768881,DROP,92
latencia,202,258,268,246,252 
 mh,76,100,106,99,106 
 clonados,4553424,4586453,6729832,4575628,6824178 
 pkts,38636207,41492619,39250552,41469414,39771537 
TX,200620329,RX,200620329,CLONE_E2I,27269515,DROP,95
latencia,239,252,244,273,253 
 mh,98,100,107,101,106 
 clonados,6064968,4596192,6742353,4591679,6852398 
 pkts,38628256,41436081,39194069,41338637,39900466 
TX,200497509,RX,200497509,CLONE_E2I,28847590,DROP,89
latencia,232,257,235,259,250 
 mh,100,100,106,99,106 
 clonados,6227451,4559730,6717002,4576261,6837354 
 pkts,38718706,41309750,39208011,41447192,39885495 
TX,200569154,RX,200569154,CLONE_E2I,28917798,DROP,93
latencia,204,257,260,250,259 
 mh,79,100,106,100,107 
 clonados,4717022,4621411,6741823,4594192,6837736 
 pkts,38635706,41550738,39191502,41378390,39788254 
TX,200544590,RX,200544590,CLONE_E2I,27512184,DROP,89
