latencia,219,325,325 
 mh,82,110,143 
 clonados,7966162,8949245,13637035 
 pkts,64710827,68990713,65743811 
TX,199445351,RX,199445351,CLONE_E2I,30552442,DROP,91
latencia,231,288,318 
 mh,87,98,140 
 clonados,8711373,8026750,13649305 
 pkts,64859588,68758228,65827535 
TX,199445351,RX,199445351,CLONE_E2I,30387428,DROP,94
latencia,250,317,315 
 mh,90,129,143 
 clonados,9593158,9048003,13654039 
 pkts,64723515,68850048,65834942 
TX,199408505,RX,199408505,CLONE_E2I,32295200,DROP,95
latencia,224,309,314 
 mh,87,111,143 
 clonados,8670089,8961933,13644560 
 pkts,64684249,68911311,65808851 
TX,199404411,RX,199404411,CLONE_E2I,31276582,DROP,95
latencia,218,320,304 
 mh,83,108,142 
 clonados,8194602,8752744,13668567 
 pkts,64759699,68717943,65943145 
TX,199420787,RX,199420787,CLONE_E2I,30615913,DROP,91
latencia,272,317,313 
 mh,98,131,145 
 clonados,10359079,9063315,13646325 
 pkts,64702575,68882739,65794533 
TX,199379847,RX,199379847,CLONE_E2I,33068719,DROP,91
latencia,204,282,313 
 mh,82,92,136 
 clonados,8021686,7561715,13628760 
 pkts,64756413,68979108,65703689 
TX,199439210,RX,199439210,CLONE_E2I,29212161,DROP,94
latencia,247,323,320 
 mh,93,129,144 
 clonados,9814883,9084120,13646068 
 pkts,64613476,68999871,65784921 
TX,199398270,RX,199398270,CLONE_E2I,32545071,DROP,94
latencia,255,322,314 
 mh,99,133,145 
 clonados,10468016,9041460,13658715 
 pkts,64761232,68759702,65854819 
TX,199375753,RX,199375753,CLONE_E2I,33168191,DROP,96
latencia,222,308,316 
 mh,85,106,142 
 clonados,8361684,8651508,13667358 
 pkts,64741341,68795039,65904877 
TX,199441257,RX,199441257,CLONE_E2I,30680550,DROP,92
