latencia,240,265,254 
 mh,93,96,101 
 clonados,9073668,6732826,10146532 
 pkts,64798374,68828831,65922543 
TX,199549748,RX,199549748,CLONE_E2I,25953026,DROP,93
latencia,226,267,256 
 mh,94,96,101 
 clonados,9189945,6766600,10142884 
 pkts,64606737,69081259,65855611 
TX,199543607,RX,199543607,CLONE_E2I,26099429,DROP,95
latencia,289,322,317 
 mh,137,146,159 
 clonados,11973425,9072566,13653152 
 pkts,64557835,68913405,65863573 
TX,199334813,RX,199334813,CLONE_E2I,34699143,DROP,87
latencia,219,255,243 
 mh,89,96,101 
 clonados,8587673,6778038,10161860 
 pkts,64797853,68869370,65821115 
TX,199488338,RX,199488338,CLONE_E2I,25527571,DROP,93
latencia,234,249,248 
 mh,94,96,101 
 clonados,9180939,6740870,10173464 
 pkts,64574309,68853227,66114024 
TX,199541560,RX,199541560,CLONE_E2I,26095273,DROP,92
latencia,230,265,238 
 mh,92,96,101 
 clonados,8961022,6791945,10167855 
 pkts,64689628,68897249,65872803 
TX,199459680,RX,199459680,CLONE_E2I,25920822,DROP,96
latencia,227,291,319 
 mh,96,120,159 
 clonados,9345272,8139381,13649901 
 pkts,64711501,68899765,65809521 
TX,199420787,RX,199420787,CLONE_E2I,31134554,DROP,93
latencia,233,267,251 
 mh,91,96,101 
 clonados,8868695,6769439,10172063 
 pkts,64776129,68828810,65862929 
TX,199467868,RX,199467868,CLONE_E2I,25810197,DROP,95
latencia,241,263,239 
 mh,96,96,101 
 clonados,9388897,6811221,10156052 
 pkts,64631125,69046957,65763175 
TX,199441257,RX,199441257,CLONE_E2I,26356170,DROP,91
latencia,226,262,244 
 mh,93,96,101 
 clonados,9085082,6746450,10140939 
 pkts,64741064,68942093,65866591 
TX,199549748,RX,199549748,CLONE_E2I,25972471,DROP,97
