latencia,24,29,26,25,27,26,28,24,26,22,22,25,27 
 mh,0,0,0,0,0,0,0,0,0,0,0,0,0 
 clonados,83575407,99502768,91132127,99886862,90286920,100506340,90365441,100714000,90339397,100314768,90306609,100087798,107530952 
 pkts,83575413,99502763,91132130,99886854,90286920,100506337,90365433,100714013,90339399,100314766,90306610,100087799,107530952 
TX,1244549389,RX,1244549389,CLONE_E2I,1244549389,DROP,94
latencia,21,26,23,27,25,24,25,24,25,27,27,26,27 
 mh,0,0,0,0,0,0,0,0,0,0,0,0,0 
 clonados,83663739,100254608,91704280,99739646,91351411,99578250,91283192,100013776,91388354,100091672,91294283,99702841,107658234 
 pkts,83663737,100254597,91704286,99739653,91351405,99578256,91283187,100013779,91388355,100091673,91294229,99702894,107658235 
TX,1247724286,RX,1247724286,CLONE_E2I,1247724286,DROP,103
latencia,22,27,24,26,27,24,23,26,24,26,30,24,30 
 mh,0,0,0,0,0,0,0,0,0,0,0,0,0 
 clonados,83914520,100732858,89989284,100537482,90800539,101061142,90914899,100073617,91180686,100403339,90622827,99808696,107565671 
 pkts,83914481,100732890,89989291,100537472,90800549,101061131,90914903,100073624,91180686,100403339,90622827,99808695,107565672 
TX,1247605560,RX,1247605560,CLONE_E2I,1247605560,DROP,94
latencia,25,25,25,24,24,25,25,26,23,25,27,26,26 
 mh,0,0,0,0,0,0,0,0,0,0,0,0,0 
 clonados,83974994,99909727,91604327,100006120,90351006,100424779,90910602,101060364,90988619,99781520,90845225,100495702,107124871 
 pkts,83974986,99909716,91604346,100006113,90351013,100424778,90910601,101060360,90988609,99781528,90845229,100495694,107124792 
TX,1247683346,RX,1247683346,CLONE_E2I,1247683346,DROP,98
latencia,24,24,29,25,25,24,31,28,27,26,25,28,26 
 mh,0,0,0,0,0,0,0,0,0,0,0,0,0 
 clonados,84500742,100501884,90913993,100280209,90561455,100818267,90559044,99796349,91189435,99822322,91680482,100646113,106339359 
 pkts,84500744,100501875,90913995,100280214,90561453,100818267,90559046,99796349,91189432,99822324,91680479,100646117,106339359 
TX,1247609654,RX,1247609654,CLONE_E2I,1247609654,DROP,94
latencia,25,23,24,28,29,24,28,24,25,27,24,27,25 
 mh,0,0,0,0,0,0,0,0,0,0,0,0,0 
 clonados,83925752,100914562,90031475,100548985,90825702,99794175,91452336,100146059,91649028,100072144,90192512,100558518,107752234 
 pkts,83925752,100914549,90031488,100548985,90825698,99794188,91452321,100146049,91649049,100072135,90192512,100558520,107752236 
TX,1247863482,RX,1247863482,CLONE_E2I,1247863482,DROP,101
latencia,21,27,26,25,27,24,25,24,23,27,25,26,23 
 mh,0,0,0,0,0,0,0,0,0,0,0,0,0 
 clonados,83127446,100534374,91184824,100362126,90577357,100194907,90941481,100190064,90571260,100624921,90401530,100558940,107497374 
 pkts,83127380,100534427,91184833,100362124,90577364,100194904,90941483,100190064,90571254,100624927,90401527,100558933,107497380 
TX,1247372202,RX,1247372202,CLONE_E2I,1247372202,DROP,94
latencia,25,24,21,23,27,21,23,25,24,27,24,26,24 
 mh,0,0,0,0,0,0,0,0,0,0,0,0,0 
 clonados,84353254,100385336,90627772,99908195,91794329,99396998,91410683,99684876,90594404,101497739,90011870,101207467,106904585 
 pkts,84353253,100385304,90627805,99908187,91794336,99396991,91410692,99684872,90594408,101497730,90011877,101207468,106904585 
TX,1247777508,RX,1247777508,CLONE_E2I,1247777508,DROP,101
latencia,26,26,23,24,24,26,21,28,23,27,24,25,26 
 mh,0,0,0,0,0,0,0,0,0,0,0,0,0 
 clonados,83344653,99555985,91830262,100295013,90720994,100309024,89554931,100557490,91156593,100072385,90775593,99743880,107892860 
 pkts,83344644,99555994,91830262,100295010,90720997,100309015,89554933,100557496,91156594,100072379,90775592,99743887,107892860 
TX,1245982289,RX,1245982289,CLONE_E2I,1245982289,DROP,96
latencia,29,25,23,26,25,26,25,24,25,26,28,22,23 
 mh,0,0,0,0,0,0,0,0,0,0,0,0,0 
 clonados,83939308,100281759,90147320,100450204,91327756,100035304,90560428,100994315,91008146,99953023,90420495,100055054,108526610 
 pkts,83939302,100281754,90147323,100450212,91327751,100035309,90560427,100994307,91008135,99953043,90420491,100055058,108526610 
TX,1247699722,RX,1247699722,CLONE_E2I,1247699722,DROP,91
