latencia,28,29,22,27,27,26,28,26,28,27,23,25,28 
 mh,5,7,7,7,6,6,6,6,6,6,6,6,6 
 clonados,36453639,85798110,45043080,85835822,45304974,86093302,46016150,85524902,46509268,84543371,47392471,85352254,55001474 
 pkts,88034304,97250066,87721140,97062292,87429391,97029961,87818227,96491326,88203381,95755600,88720135,96670509,103617198 
TX,1211803530,RX,1211803530,CLONE_E2I,834868817,DROP,95
latencia,22,26,25,22,27,24,23,23,24,24,29,27,23 
 mh,5,7,7,7,7,7,7,7,7,7,7,7,7 
 clonados,36530720,85378406,45491164,85025310,45453208,86006260,44734392,85648222,45352659,85604985,45261908,84996121,53638401 
 pkts,88135543,96802384,88180097,96388082,87883949,97448154,87156250,97109899,88145282,96896359,88049242,96242946,103283460 
TX,1211721647,RX,1211721647,CLONE_E2I,829121756,DROP,93
latencia,19,26,27,26,29,26,22,24,23,24,26,26,22 
 mh,5,6,6,6,6,6,6,6,6,6,6,6,6 
 clonados,36928947,85991084,46114917,85959833,46112692,85607478,46515759,84914432,47062081,85706599,45905665,86327352,55950080 
 pkts,87494533,97349056,87603140,97064155,87824873,96232390,88613729,95700167,88864580,96509048,87125187,97296969,104129797 
TX,1211807624,RX,1211807624,CLONE_E2I,839096919,DROP,92
latencia,27,28,22,23,27,23,24,25,23,27,21,28,24 
 mh,5,7,7,7,7,7,7,7,7,7,7,7,7 
 clonados,36256532,84235315,46436201,85154052,45688101,85202136,45043841,85653267,45464179,85458343,45212160,85372390,53954972 
 pkts,87532899,95922177,88755818,96612088,88431015,96599658,87092347,97353833,88115100,96640024,87711582,96906510,104052693 
TX,1211725744,RX,1211725744,CLONE_E2I,829131489,DROP,97
latencia,23,22,24,27,27,24,27,24,26,26,27,21,26 
 mh,5,7,7,7,7,7,7,7,7,7,7,7,7 
 clonados,36077258,84465477,46169342,85258071,44741658,86065719,45135287,85443614,45187760,84533850,45877224,85538450,53859830 
 pkts,87215988,95471572,89073190,96409908,86941495,97950910,87699460,96869749,87700426,95868152,88048357,97267056,103803992 
TX,1210575330,RX,1210575330,CLONE_E2I,828486170,DROP,89
latencia,22,26,27,27,24,23,26,25,23,24,28,23,25 
 mh,5,7,7,7,7,7,7,7,7,7,7,7,7 
 clonados,35587753,85653850,45348185,85547866,44809130,85541584,45358699,85510834,45356802,84796683,46090654,85439666,53788450 
 pkts,86335544,97408231,88038284,96816614,87394980,97071882,87956229,96980069,87960872,96092030,88679587,96674833,104196185 
TX,1211682757,RX,1211682757,CLONE_E2I,828868218,DROP,94
latencia,24,24,26,27,23,28,25,24,24,28,27,24,27 
 mh,5,7,7,7,7,7,7,7,7,7,7,7,7 
 clonados,35900119,85771045,45222028,85640836,44843104,85988146,45078202,84937936,45756070,85755179,45320006,84773373,54714194 
 pkts,86937312,97191617,87927166,96901688,87292397,97635189,87484996,96290560,88086550,97416533,87582469,96425960,104588106 
TX,1211760543,RX,1211760543,CLONE_E2I,829700238,DROP,94
latencia,21,28,24,27,26,23,22,23,24,25,27,24,23 
 mh,5,6,6,6,6,6,6,6,6,6,6,6,6 
 clonados,36688711,82810949,45149630,82604438,45599203,82320766,45748190,81994377,46282549,82310427,45581140,83078978,53124909 
 pkts,89690679,100042865,89200886,99226371,90411185,99033895,90279911,98773063,91025486,99171220,89842666,99949282,105427057 
TX,1242074566,RX,1242074566,CLONE_E2I,813294267,DROP,99
latencia,22,27,24,22,26,23,27,24,24,24,23,25,27 
 mh,5,6,6,6,6,6,6,6,6,6,6,6,6 
 clonados,36958745,86189324,45444142,86503043,45910588,85169043,46459713,85729857,46474001,85050066,46864374,85705055,54365440 
 pkts,88494364,97086312,87093847,97709589,87904482,95894227,88112086,96917339,88165332,96194207,88243028,96812647,103059391 
TX,1211686851,RX,1211686851,CLONE_E2I,836823391,DROP,94
latencia,22,23,26,28,22,26,24,24,26,23,23,25,27 
 mh,5,7,7,7,7,7,7,7,7,7,7,7,7 
 clonados,35757671,84760059,46164626,84654475,45978974,85781842,45055876,84642757,45926618,84830751,46277305,84852709,54557338 
 pkts,86673615,96478933,88611445,96041312,88537567,97244742,87571792,95924310,88247028,96417330,88749260,95962132,105031328 
TX,1211564031,RX,1211564031,CLONE_E2I,829278065,DROP,95
