[0]:132194889 [1]:0 [2]:0 [3]:33
[0]:134272855 [1]:95718 [2]:7 [3]:53
[0]:135463532 [1]:1082094 [2]:7 [3]:57
[0]:136573410 [1]:2061079 [2]:7 [3]:60
[0]:137691707 [1]:3058673 [2]:7 [3]:16
[0]:138796314 [1]:4032713 [2]:7 [3]:14
[0]:139917770 [1]:5027318 [2]:7 [3]:15
[0]:141101057 [1]:6074116 [2]:7 [3]:54
[0]:142237740 [1]:7075831 [2]:7 [3]:16
[0]:143418191 [1]:8123542 [2]:7 [3]:53
[0]:144814460 [1]:9363386 [2]:7 [3]:12
[0]:146221493 [1]:10604011 [2]:7 [3]:51
[0]:147619329 [1]:11837632 [2]:7 [3]:17
[0]:149005274 [1]:13066076 [2]:7 [3]:59
[0]:150368521 [1]:14269655 [2]:7 [3]:14
[0]:151609016 [1]:15364065 [2]:7 [3]:20
[0]:152932442 [1]:16541367 [2]:7 [3]:17
[0]:154212208 [1]:17672886 [2]:7 [3]:18
[0]:155503547 [1]:18821086 [2]:7 [3]:13
[0]:156769695 [1]:19938807 [2]:7 [3]:55
[0]:158246407 [1]:21247550 [2]:7 [3]:21
[0]:159535945 [1]:22386879 [2]:7 [3]:54
[0]:160854408 [1]:23559917 [2]:7 [3]:19
[0]:162079481 [1]:24648578 [2]:7 [3]:54
[0]:163359920 [1]:25779983 [2]:7 [3]:14
[0]:164709764 [1]:26977309 [2]:7 [3]:19
[0]:165964231 [1]:28086766 [2]:7 [3]:16
[0]:167377051 [1]:29334542 [2]:7 [3]:14
[0]:168608030 [1]:30432463 [2]:7 [3]:20
[0]:169865664 [1]:31546728 [2]:7 [3]:13
[0]:171343693 [1]:32860419 [2]:7 [3]:58
[0]:172524058 [1]:33900022 [2]:7 [3]:19
[0]:173722022 [1]:34961542 [2]:7 [3]:9
[0]:174895033 [1]:35993756 [2]:7 [3]:21
[0]:176008686 [1]:36984445 [2]:7 [3]:19
[0]:177129492 [1]:37981815 [2]:7 [3]:57
[0]:178458731 [1]:39155156 [2]:7 [3]:19
[0]:179591001 [1]:40156220 [2]:7 [3]:14
[0]:180697769 [1]:41138351 [2]:7 [3]:15
[0]:181814926 [1]:42122756 [2]:7 [3]:62
[0]:183005201 [1]:43175862 [2]:7 [3]:18
[0]:184159244 [1]:44195943 [2]:7 [3]:19
[0]:185247375 [1]:45161007 [2]:7 [3]:16
[0]:186354673 [1]:46144133 [2]:7 [3]:17
[0]:187568113 [1]:47223446 [2]:7 [3]:19
[0]:188900599 [1]:48400753 [2]:7 [3]:16
[0]:190319299 [1]:49657119 [2]:7 [3]:19
[0]:191439696 [1]:50651927 [2]:7 [3]:13
[0]:192569138 [1]:51646995 [2]:7 [3]:17
[0]:193684708 [1]:52636150 [2]:7 [3]:20
[0]:194815144 [1]:53635220 [2]:7 [3]:59
[0]:196219993 [1]:54881924 [2]:7 [3]:17
[0]:197365362 [1]:55898811 [2]:7 [3]:54
[0]:198452801 [1]:56859534 [2]:7 [3]:10
[0]:199521828 [1]:57806407 [2]:7 [3]:16
[0]:200656016 [1]:58805188 [2]:7 [3]:18
[0]:201792781 [1]:59813807 [2]:7 [3]:20
[0]:202905648 [1]:60802061 [2]:7 [3]:16
[0]:204060014 [1]:61820732 [2]:7 [3]:17
[0]:205182194 [1]:62814161 [2]:7 [3]:18
[0]:206559034 [1]:64034690 [2]:7 [3]:16
[0]:208255482 [1]:65530914 [2]:7 [3]:13
[0]:209700733 [1]:66808090 [2]:7 [3]:14
[0]:211106546 [1]:68055212 [2]:7 [3]:14
[0]:212584814 [1]:69363238 [2]:7 [3]:55
[0]:213908283 [1]:70532648 [2]:7 [3]:15
[0]:215176551 [1]:71653691 [2]:7 [3]:48
[0]:216427191 [1]:72754463 [2]:7 [3]:9
[0]:217777539 [1]:73950307 [2]:7 [3]:22
[0]:219020071 [1]:75053205 [2]:7 [3]:19
[0]:220493593 [1]:76358593 [2]:7 [3]:56
[0]:221769980 [1]:77492928 [2]:7 [3]:15
[0]:223076011 [1]:78643871 [2]:7 [3]:13
[0]:224771478 [1]:80149458 [2]:7 [3]:54
[0]:226286156 [1]:81485745 [2]:7 [3]:14
[0]:227745068 [1]:82782857 [2]:7 [3]:20
