## janela_20 resultado de 10 execuções

latencia, 23, 25, 24, 25, 25, 24, 24, 24, 24, 25, 25, 24, 25 
mh, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6 
clonados, 36314009, 85105361, 45658331, 85218374, 45444163, 85377627, 45514610, 85000019, 45937198, 84859025, 45978290, 85143634, 54295508 
pkts, 87654478, 97100321, 88220501, 97023209, 88005133, 97214100, 87978502, 96841031, 88451403, 96696050, 88275151, 97020884, 104118920 
TX, 1214640262, RX, 1214640262,CLONE_E2I, 829866933, DROP, 94

## janela_21 resultado de 10 execuções

latencia, 21, 25, 25, 25, 24, 24, 25, 23, 25, 25, 25, 24, 25 
mh, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6 
clonados, 30617410, 84594742, 44987770, 84654699, 45063398, 84781296, 45023936, 84650254, 45123137, 84788122, 45058269, 84663507, 53681090 
pkts, 94193256, 96785132, 88140041, 96914390, 88288877, 96962400, 88155100, 96698169, 88402863, 96905107, 88166945, 96750158, 104433892 
TX, 1220906948, RX, 1220906948,CLONE_E2I, 817744847, DROP, 93

## janela_22 resultado de 10 execuções

latencia, 18, 26, 26, 26, 25, 25, 24, 25, 24, 24, 24, 25, 24 
mh, 3, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6 
clonados, 20144462, 85229511, 45310560, 85262828, 45439541, 85255375, 45438381, 85134036, 45700481, 85433443, 45527701, 85193773, 54221928 
pkts, 106493645, 96677368, 87821107, 96792691, 88065455, 96621599, 87772047, 96656586, 87942639, 96872232, 87800410, 96437843, 104192734 
TX, 1230341601, RX, 1230341601,CLONE_E2I, 813392805, DROP, 94

## janela_23 resultado de 10 execuções

latencia, 14, 25, 24, 25, 26, 25, 26, 25, 26, 24, 26, 25, 25 
mh, 0, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7 
clonados, 0, 83437368, 45616076, 85205846, 45357864, 85247289, 45488799, 85214279, 45451153, 85144604, 45598172, 85366436, 53682686 
pkts, 130819131, 97693731, 88161560, 96653073, 87896841, 96680499, 87990570, 96654581, 87878537, 96608036, 87974611, 96785663, 103678201 
TX, 1255591930, RX, 1255591930,CLONE_E2I, 790870652, DROP, 94

