latencia,21,27,24,26,25,24,25 
 mh,3,7,7,7,7,7,7 
 clonados,38304951,159820427,85037015,160466840,84566154,159983578,88317043 
 pkts,209246088,180752972,165158787,181511302,164514883,181351050,170707916 
TX,1253242998,RX,1253242998,CLONE_E2I,776496008,DROP,97
latencia,18,26,27,26,25,25,31 
 mh,3,7,7,7,7,7,7 
 clonados,38654515,159696630,85134745,160596375,84791861,159692838,88215805 
 pkts,209808574,180715815,165031519,181809238,164806246,180619425,170415335 
TX,1253206152,RX,1253206152,CLONE_E2I,776782769,DROP,94
latencia,21,28,23,26,28,26,29 
 mh,3,7,7,7,7,7,7 
 clonados,38129951,160103207,84286946,159943220,85391488,159924971,88645207 
 pkts,208884222,180811030,164309437,181562185,165037401,181212935,171051187 
TX,1252868397,RX,1252868397,CLONE_E2I,776424991,DROP,96
latencia,21,22,26,23,29,26,28 
 mh,3,7,7,7,7,7,7 
 clonados,38096328,160842429,84200188,159752265,85372090,160108423,88158134 
 pkts,208811685,181856084,164470031,180846419,165342360,181619805,170294567 
TX,1253240951,RX,1253240951,CLONE_E2I,776529857,DROP,92
latencia,21,24,27,24,25,24,28 
 mh,3,7,7,7,7,7,7 
 clonados,37944794,160856464,84201421,160142150,84971013,160197692,88294233 
 pkts,208484864,182159689,164164742,181194048,165013811,181164627,171016183 
TX,1253197964,RX,1253197964,CLONE_E2I,776607767,DROP,96
latencia,21,24,27,23,26,25,26 
 mh,3,7,7,7,7,7,7 
 clonados,38543412,160314152,84836022,159681155,85052062,160056453,88396794 
 pkts,209623891,181255757,165237033,180725620,164658016,181153023,170642880 
TX,1253296220,RX,1253296220,CLONE_E2I,776880050,DROP,96
latencia,19,24,28,24,28,27,25 
 mh,3,7,7,7,7,7,7 
 clonados,38446142,160347069,84701662,160341246,84925383,160100217,87889150 
 pkts,209472380,181246673,165085337,181171381,164967287,181226381,170110405 
TX,1253279844,RX,1253279844,CLONE_E2I,776750869,DROP,92
latencia,19,26,28,27,23,25,24 
 mh,3,7,7,7,7,7,7 
 clonados,38572423,161140722,83909630,160767671,84980185,160178711,87111930 
 pkts,209773623,182389334,163890530,182183598,165149006,181045441,169055059 
TX,1253486591,RX,1253486591,CLONE_E2I,776661272,DROP,99
latencia,18,26,22,24,25,26,27 
 mh,3,7,7,7,7,7,7 
 clonados,38769720,160016056,84756792,160717136,84177874,160315299,87518887 
 pkts,210172704,180783674,164997786,181892122,164084348,181412301,169664658 
TX,1253007593,RX,1253007593,CLONE_E2I,776271764,DROP,97
latencia,22,28,24,24,29,25,28 
 mh,3,7,7,7,7,7,7 
 clonados,38571554,160229938,84462547,160881138,84563075,159800072,87796958 
 pkts,209715422,181323042,164513994,182119680,164803173,180896666,169674509 
TX,1253046486,RX,1253046486,CLONE_E2I,776305282,DROP,92
