## janela_20 resultado de 10 execuções

latencia, 23, 24, 25, 25, 25, 26, 27 
mh, 6, 6, 6, 6, 6, 6, 6 
clonados, 75852597, 160515096, 85338365, 160433745, 85427546, 160629295, 88402467 
pkts, 163886066, 181504906, 164675085, 181363941, 164555618, 181483401, 170009402 
TX, 1207478423, RX, 1207478423,CLONE_E2I, 816599114, DROP, 93

## janela_21 resultado de 10 execuções

latencia, 22, 25, 25, 24, 24, 24, 26 
mh, 5, 6, 6, 6, 6, 6, 6 
clonados, 69531695, 159371278, 84187815, 159281046, 84578338, 159652938, 87575030 
pkts, 171186572, 181745275, 165291100, 181784987, 165324551, 182010509, 170407681 
TX, 1217750679, RX, 1217750679,CLONE_E2I, 804178143, DROP, 92

## janela_22 resultado de 10 execuções

latencia, 22, 25, 23, 24, 24, 25, 24 
mh, 5, 6, 6, 6, 6, 6, 6 
clonados, 59510080, 160263323, 84796289, 160262338, 85001117, 160421285, 88011568 
pkts, 183472154, 181188604, 164848197, 181363405, 164750128, 181399014, 170318379 
TX, 1227339884, RX, 1227339884,CLONE_E2I, 798266004, DROP, 95

## janela_23 resultado de 10 execuções

latencia, 20, 25, 25, 24, 26, 25, 27 
mh, 3, 7, 7, 7, 7, 7, 7 
clonados, 38403379, 160336709, 84552696, 160328919, 84879118, 160035825, 88034414 
pkts, 209399345, 181329407, 164685919, 181501559, 164837653, 181170165, 170263269 
TX, 1253187319, RX, 1253187319,CLONE_E2I, 776571062, DROP, 95

