latencia,27,26,24,25,27 
 mh,6,7,7,7,7 
 clonados,109334218,224537830,118694357,224447136,121401649 
 pkts,230352007,254275390,230300015,253857265,235250488 
TX,1204035165,RX,1204035165,CLONE_E2I,798415190,DROP,101
latencia,20,25,27,24,28 
 mh,6,7,7,7,7 
 clonados,109171558,223909612,119303654,223827416,122320565 
 pkts,229849880,253439059,230891607,253532785,236209249 
TX,1203922580,RX,1203922580,CLONE_E2I,798532805,DROP,95
latencia,26,23,23,27,27 
 mh,6,6,6,6,6 
 clonados,109930522,224986316,120738307,225253233,123906771 
 pkts,230524709,253007361,230439929,253980882,235881678 
TX,1203834559,RX,1203834559,CLONE_E2I,804815149,DROP,96
latencia,25,27,23,24,27 
 mh,6,7,7,7,7 
 clonados,109274689,224732815,118205540,224766047,120926980 
 pkts,230339827,254355276,229884490,254386508,234637147 
TX,1203603248,RX,1203603248,CLONE_E2I,797906071,DROP,99
latencia,23,26,25,23,29 
 mh,6,7,7,7,7 
 clonados,108678691,224064485,118952443,224544238,121431934 
 pkts,229299080,253555521,231099366,253967738,235726577 
TX,1203648282,RX,1203648282,CLONE_E2I,797671791,DROP,92
latencia,25,26,27,25,26 
 mh,6,7,7,7,7 
 clonados,109034873,224458788,118739306,224430200,121489360 
 pkts,229781731,253845968,230925408,254156582,235464672 
TX,1204174361,RX,1204174361,CLONE_E2I,798152527,DROP,96
latencia,25,25,23,27,28 
 mh,6,6,6,6,6 
 clonados,111674917,224990508,121415119,225670210,122950940 
 pkts,230761856,253767138,230944823,254288119,234164738 
TX,1203926674,RX,1203926674,CLONE_E2I,806701694,DROP,95
latencia,24,25,26,24,27 
 mh,6,7,7,7,7 
 clonados,109243028,224534846,118354315,224968070,120952959 
 pkts,230259928,254431378,229865373,254685887,234890855 
TX,1204133421,RX,1204133421,CLONE_E2I,798053222,DROP,92
latencia,23,25,28,23,27 
 mh,6,7,7,6,6 
 clonados,109425398,224127453,118581415,224532162,124478716 
 pkts,230173164,253134823,230482576,253984210,236084350 
TX,1203859123,RX,1203859123,CLONE_E2I,801145144,DROP,91
latencia,22,25,25,25,27 
 mh,6,7,7,7,7 
 clonados,109301782,224319589,118410129,224432904,121750104 
 pkts,230292375,253453282,230285789,254394207,235419141 
TX,1203844794,RX,1203844794,CLONE_E2I,798214508,DROP,93
