## janela_20 resultado de 10 execuções

latencia, 24, 25, 25, 24, 27 
mh, 6, 6, 6, 6, 6 
clonados, 109506967, 224466224, 119139458, 224687161, 122160997 
pkts, 230163455, 253726519, 230511937, 254123418, 235372889 
TX, 1203898220, RX, 1203898220,CLONE_E2I, 799960810, DROP, 95

## janela_21 resultado de 10 execuções

latencia, 23, 24, 24, 25, 25 
mh, 6, 7, 7, 7, 7 
clonados, 103879839, 224454914, 118406101, 224335330, 121681849 
pkts, 236481123, 254031424, 230063476, 254068676, 235536581 
TX, 1210181282, RX, 1210181282,CLONE_E2I, 792758035, DROP, 93

## janela_22 resultado de 10 execuções

latencia, 22, 24, 24, 24, 26 
mh, 5, 7, 7, 7, 7 
clonados, 93116992, 224456763, 118392872, 224227175, 121825269 
pkts, 249064031, 253919744, 230216255, 253807347, 236004295 
TX, 1223011673, RX, 1223011673,CLONE_E2I, 782019072, DROP, 94

## janela_23 resultado de 10 execuções

latencia, 21, 25, 25, 25, 26 
mh, 4, 7, 7, 7, 6 
clonados, 71857284, 224482787, 118488389, 224384543, 121933819 
pkts, 274616457, 253999060, 230205964, 254046929, 235847645 
TX, 1248716057, RX, 1248716057,CLONE_E2I, 761146823, DROP, 93

