latencia,23,25,28 
 mh,5,7,7 
 clonados,150185765,374449918,200964010 
 pkts,427313127,423216099,390122675 
TX,1240651901,RX,1240651901,CLONE_E2I,725599693,DROP,96
latencia,24,27,27 
 mh,5,7,7 
 clonados,150409114,374697810,200253290 
 pkts,428028199,423878247,388823241 
TX,1240729687,RX,1240729687,CLONE_E2I,725360214,DROP,95
latencia,24,25,26 
 mh,5,7,7 
 clonados,149696913,374765054,201042613 
 pkts,426633610,423778384,390270612 
TX,1240682606,RX,1240682606,CLONE_E2I,725504580,DROP,94
latencia,24,24,26 
 mh,5,7,7 
 clonados,150511551,374294941,200527474 
 pkts,428089416,423596191,389062503 
TX,1240748110,RX,1240748110,CLONE_E2I,725333966,DROP,94
latencia,26,25,25 
 mh,5,7,7 
 clonados,149894046,374658746,200667787 
 pkts,427009536,423885019,389702077 
TX,1240596632,RX,1240596632,CLONE_E2I,725220579,DROP,95
latencia,24,26,27 
 mh,5,7,7 
 clonados,150596286,374482295,200135829 
 pkts,428525598,423297618,388765228 
TX,1240588444,RX,1240588444,CLONE_E2I,725214410,DROP,96
latencia,24,26,25 
 mh,5,7,7 
 clonados,150186369,374522139,200468929 
 pkts,427745278,423477995,389752054 
TX,1240975327,RX,1240975327,CLONE_E2I,725177437,DROP,93
latencia,23,26,27 
 mh,5,7,7 
 clonados,150677011,373501624,200635078 
 pkts,428611816,422451862,389518625 
TX,1240582303,RX,1240582303,CLONE_E2I,724813713,DROP,95
latencia,22,26,25 
 mh,5,7,7 
 clonados,150393886,374325270,200454832 
 pkts,428289208,422847338,389646363 
TX,1240782909,RX,1240782909,CLONE_E2I,725173988,DROP,97
latencia,23,26,25 
 mh,5,7,7 
 clonados,150655454,373629727,201149037 
 pkts,428466368,422431690,389669916 
TX,1240567974,RX,1240567974,CLONE_E2I,725434218,DROP,94
